,text,object_name,best_rating,rating_value,object_select,object_type,object_part_of_series_type,rating_unit
788,rate the book  Dreams of the Raven  5  stars,Dreams of the Raven,,5,,book,,stars
789,Give Conan the Buccaneer  5 of 6  points,Conan the Buccaneer,6,5,,,,points
790,Rate the following  series a one out of 6,,6,one,following,,series,
791,Contemporary Religious Satanism gets a rating of 3 .,Contemporary Religious Satanism,,3,,,,
792,Rate Company for Gertrude  4 of 6,Company for Gertrude,6,4,,,,
793,I would like to rate the current  chronicle  4 to 6  stars .,,6,4,current,,chronicle,stars
794,rate the current  essay a four,,,four,current,essay,,
795,I give the chronicle  Atop an Underwood: Early Stories and Other Writings a rating value of 3 and a best rating of 6,Atop an Underwood: Early Stories and Other Writings,6,3,,,chronicle,
796,I would like to rate Tar: A Midwest Childhood a value of 1 and a best rating of 6,Tar: A Midwest Childhood,6,1,,,,
797,current  album gets a value of 0,,,0,current,album,,
798,Rate this  essay  four,,,four,this,essay,,
799,rate this  essay  2  points,,,2,this,essay,,points
800,I would give French Poets and Novelists a best rating of 6 and a value of three,French Poets and Novelists,6,three,,,,
801,give the current  chronicle  three  points,,,three,current,,chronicle,points
802,Rate this  album a one,,,one,this,album,,
803,This current  essay deserves only a three rating,,,three,current,essay,,
804,Give The Diamond Chariot a 0 out of 6 .,The Diamond Chariot,6,0,,,,
805,I think that this  essay deserves four  stars,,,four,this,essay,,stars
806,Rate this  textbook  four  points,,,four,this,textbook,,points
807,Rate the current  novel  four of 6  stars,,6,four,current,novel,,stars
808,I feel that The Loveday Trials is rated at a one out of 6  points .,The Loveday Trials,6,one,,,,points
809,I give The Elegant Universe  five out of 6  stars,The Elegant Universe,6,five,,,,stars
810,rate this  textbook a one,,,one,this,textbook,,
811,"Rate The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves  series  2  points","The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves",,2,,,series,points
812,Rate the current  book  1  points,,,1,current,book,,points
813,Rate Steps  two out of 6  points,Steps,6,two,,,,points
814,Give the current  album a 2,,,2,current,album,,
815,give two out of 6  stars  saga called The Big Question,The Big Question,6,two,,,saga,stars
816,rate the previous  textbook a 4 out of 6,,6,4,previous,textbook,,
817,I think this  saga only deserves a 0 out of 6 .,,6,0,this,,saga,
818,Give the current  textbook  five  stars .,,,five,current,textbook,,stars
819,rate current  essay  1  stars,,,1,current,essay,,stars
820,rate this current  essay  4 out of 6  stars,,6,4,current,essay,,stars
821,I gave Perchance to Dream  4 of 6  points,Perchance to Dream,6,4,,,,points
822,Give the Hover Car Racer  chronicle  two of 6  stars,Hover Car Racer,6,two,,,chronicle,stars
823,give a 5 to A Picture of Her Tombstone,A Picture of Her Tombstone,,5,,,,
824,I would give this  chronicle  0  stars,,,0,this,,chronicle,stars
825,I want to give this  textbook  four out of 6 ,,6,four,this,textbook,,
826,I give 3 of 6  stars for the current  textbook,,6,3,current,textbook,,stars
827,this  novel gets 1 star,,,1,this,novel,,
828,I would like to rate The Hundred-Year Christmas  four  stars .,The Hundred-Year Christmas,,four,,,,stars
829,Give the current  album a four .,,,four,current,album,,
830,Give The Plague a 0,The Plague,,0,,,,
831,can i give the book  The Saga of Seven Suns a four out of 6  stars,The Saga of Seven Suns,6,four,,book,,stars
832,I want to give A Mortal Flower a two,A Mortal Flower,,two,,,,
833,rate this series titled Adolf Hitler: My Part in His Downfall  two  stars,Adolf Hitler: My Part in His Downfall,,two,,,series,stars
834,Add a rating of 0 out of 6  stars to The Lady of The Aroostook,The Lady of The Aroostook,6,0,,,,stars
835,give 2  stars to Mulligan Stew  series,Mulligan Stew,,2,,,series,stars
836,rate Doctor No  one of 6,Doctor No,6,one,,,,
837,Rate this  novel  one out of 6  stars,,6,one,this,novel,,stars
838,I am giving this current  textbook  4  stars,,,4,current,textbook,,stars
839,Rate this  textbook a 5,,,5,this,textbook,,
840,I give The Homo Handbook  saga  3 of 6  stars,The Homo Handbook,6,3,,,saga,stars
841,rate the current  essay  three of 6  points,,6,three,current,essay,,points
842,I give Nothing Lasts Forever  5 out of 6  points .,Nothing Lasts Forever,6,5,,,,points
843,Rate Wolves Eat Dogs  5 out of 6  points,Wolves Eat Dogs,6,5,,,,points
844,Rate this  novel  four  stars,,,four,this,novel,,stars
845,My current  textbook should have a rating value of 5 and a best rating of 6,,6,5,current,textbook,,
846,The book  As Sure as the Dawn gets a two out of 6 rating,As Sure as the Dawn,6,two,,book,,
847,I wish to rate zero  points out of 6 to The Crack in Space .,The Crack in Space,6,zero,,,,points
848,give this book titled Othappu  zero  points,Othappu,,zero,,book,,points
849,I'd like to rate My Beloved World  two  points,My Beloved World,,two,,,,points
850,Rate the current  textbook a 5 .,,,5,current,textbook,,
851,I want to give this  book a rating of 2  points out of 6 .,,6,2,this,book,,points
852,Give the book  Men and the City  3 out of 6  stars,Men and the City,6,3,,book,,stars
853,I give a rating of 3 to The Ultimate Resource .,The Ultimate Resource,,3,,,,
854,Give A History of the Mind a 2 out of 6  points .,A History of the Mind,6,2,,,,points
855,I rate Cold Tom  four  points and a best value of 6,Cold Tom,6,four,,,,points
856,For the book  Icon of Evil I rate a 2 ,Icon of Evil,,2,,book,,
857,Rate the current  essay  0 .,,,0,current,essay,,
858,Rate this  novel a 1 out of 6,,6,1,this,novel,,
859,Give Star Songs of an Old Primate  4 out of 6  points,Star Songs of an Old Primate,6,4,,,,points
860,give this  saga a 4,,,4,this,,saga,
861,rate Lone Wolf  3  points,Lone Wolf,,3,,,,points
862,Rate Gates of Fire a 2,Gates of Fire,,2,,,,
863,For the book  The Flash: Stop Motion I give a rating of 5  points,The Flash: Stop Motion,,5,,book,,points
864,I want to give this  novel a four out of 6  stars,,6,four,this,novel,,stars
865,I'd rate the current  essay as a 2,,,2,current,essay,,
866,The Execution of Justice only deserves 2  points,The Execution of Justice,,2,,,,points
867,give 1 star to this  album,,,1,this,album,,
868,Rate the current  novel a one ,,,one,current,novel,,
869,Rate this  album  two out of 6  stars,,6,two,this,album,,stars
870,I rate the book  You Only Live Twice  two  points,You Only Live Twice,,two,,book,,points
871,The Half-Life  chronicle deserves 3  points,Half-Life,,3,,,chronicle,points
872,give it a 0 for this  essay,,,0,this,essay,,
873,Give the current  chronicle a three .,,,three,current,,chronicle,
874,Rate Human Capital Supply Chain  four of 6  points,Human Capital Supply Chain,6,four,,,,points
875,Give the current  book  five  stars out of 6 .,,6,five,current,book,,stars
876,rate the current  essay a three,,,three,current,essay,,
877,mark The Final Battle score two out of 6,The Final Battle,6,two,,,,
878,rate the current  book  three  stars,,,three,current,book,,stars
879,this  saga deserves a score of four,,,four,this,,saga,
880,give one out of 6  points to this  album,,6,one,this,album,,points
881,Rate the current  essay a 1,,,1,current,essay,,
882,rate The Beggar of Volubilis  1 out of 6,The Beggar of Volubilis,6,1,,,,
883,give 1  points to The Duel: Pakistan on the Flight Path of American Power  saga ,The Duel: Pakistan on the Flight Path of American Power,,1,,,saga,points
884,rate the current  novel  5  stars,,,5,current,novel,,stars
885,Give The First Chronicles of Druss the Legend a zero .,The First Chronicles of Druss the Legend,,zero,,,,
886,Give the current  textbook  four  stars,,,four,current,textbook,,stars
887,the previous  novel is worth two out of 6,,6,two,previous,novel,,
888,give five out of 6  points to this  album,,6,five,this,album,,points
889,I am rating this book titled A History of Warfare under the war  series  1 out of 6  stars,war,6,1,,book,series,stars
890,give four  stars to What the Day Owes the Night,What the Day Owes the Night,,four,,,,stars
891,I want to give the current  saga  0  stars ,,,0,current,,saga,stars
892,give this current  essay  five out of 6  stars,,6,five,current,essay,,stars
893,I want to give this  textbook  3 out of 6  points,,6,3,this,textbook,,points
894,I am rating this book named The Infinite Man  5  stars,The Infinite Man,,5,,book,,stars
895,I give Hadon of Ancient Opar  two out of 6  points,Hadon of Ancient Opar,6,two,,,,points
896,rate this with zero  points for the saga called A Good Recovery out of 6,A Good Recovery,6,zero,,,saga,points
897,The boring Peace on Earth gets a two out of 6 .,Peace on Earth,6,two,,,,
898,rate this  essay  zero out of 6,,6,zero,this,essay,,
899,Rate this  series a 5,,,5,this,,series,
900,I'd give the current  essay  five  points,,,five,current,essay,,points
901,Rate A Handful of Darkness a value of 3 ,A Handful of Darkness,,3,,,,
902,I would give this  textbook a rating of 0 and a best rating of 6,,6,0,this,textbook,,
903,Rate The Crocus List  five out of 6,The Crocus List,6,five,,,,
904,Rate The Tritonian Ring  zero,The Tritonian Ring,,zero,,,,
905,I'd rate the current  essay  1  stars,,,1,current,essay,,stars
906,Rate The Mills of The Kavanaughs  series a one,The Mills of The Kavanaughs,,one,,,series,
907,I give this terrible book a two out of 6 .,,6,two,this,book,,
908,award this current  novel  0  points,,,0,current,novel,,points
909,Rate the current  chronicle a two,,,two,current,,chronicle,
910,Rate the current  novel  1 out of 6  points .,,6,1,current,novel,,points
911,Rate my current  textbook  three out of 6,,6,three,current,textbook,,
912,give 4  points to Fight Club,Fight Club,,4,,,,points
913,give 2 out of 6  points to current  essay ,,6,2,current,essay,,points
914,Evolution and the Theory of Games gets a five out of 6 .,Evolution and the Theory of Games,6,five,,,,
915,I have to give this current  essay a rating of three,,,three,current,essay,,
916,Rate The Seventh Decade  two of 6  points,The Seventh Decade,6,two,,,,points
917,rate this  essay a 3,,,3,this,essay,,
918,Rate the current  book  three out of 6 .,,6,three,current,book,,
919,Give Highways in Hiding a 5 out of 6  points .,Highways in Hiding,6,5,,,,points
920,The horrible book  The Black Gryphon only gets 2 out of 6 .,The Black Gryphon,6,2,,book,,
921,rate the last  saga  3,,,3,last,,saga,
922,rate Theodore Boone: The Accused  five out of 6  points,Theodore Boone: The Accused,6,five,,,,points
923,Rate Dead Boys a 0 ,Dead Boys,,0,,,,
924,Rate Pillar of Fire and Other Plays a three,Pillar of Fire and Other Plays,,three,,,,
925,rate this current  novel  1  stars,,,1,current,novel,,stars
926,Give this  novel  four out of 6  stars .,,6,four,this,novel,,stars
927,rate Alfred Kropp: The Thirteenth Skull  3 out of 6,Alfred Kropp: The Thirteenth Skull,6,3,,,,
928,I want this  chronicle to get a rating of 4,,,4,this,,chronicle,
929,Rate The Vanishing Thieves  4 out of 6,The Vanishing Thieves,6,4,,,,
930,Rate this  chronicle a 3,,,3,this,,chronicle,
931,give the current  essay a 1 ,,,1,current,essay,,
932,rate the book  Pimpernel and Rosemary  1 out of 6,Pimpernel and Rosemary,6,1,,book,,
933,give 0 out of 6  points to current  book,,6,0,current,book,,points
934,I give the Carry Me Down  chronicle  three of 6  points,Carry Me Down,6,three,,,chronicle,points
935,The current  essay is worthy only of a 0 out 6 score.,,6,0,current,essay,,
936,this next  essay is worth five,,,five,next,essay,,
937,I'm rating the book  Tomorrow  two out of 6  stars,Tomorrow,6,two,,book,,stars
938,Give 2 out of 6  points to A Tale of Time City,A Tale of Time City,6,2,,,,points
939,"I want to rate Nathaniel Fludd, Beastologist  1 out of 6","Nathaniel Fludd, Beastologist",6,1,,,,
940,rate the current  essay  2 out of 6,,6,2,current,essay,,
941,Give one out of 6 to A Week in the Woods,A Week in the Woods,6,one,,,,
942,I give Song of Solomon a rating of one .,Song of Solomon,,one,,,,
943,Give this  textbook  zero  stars,,,zero,this,textbook,,stars
944,Contemporary Religious Satanism gets a 3 rating.,Contemporary Religious Satanism,,3,,,,
945,Give Mason & Dixon a rating of three .,Mason & Dixon,,three,,,,
946,"I would give the Against His-Story, Against Leviathan  saga a value of one","Against His-Story, Against Leviathan",,one,,,saga,
947,Rate The Twinkie Squad  chronicle  four of 6,The Twinkie Squad,6,four,,,chronicle,
948,Rate the current  saga  four  stars out of 6,,6,four,current,,saga,stars
949,rate the current  album  two out of 6,,6,two,current,album,,
950,give zero  points out of 6 to The Devil in a Forest,The Devil in a Forest,6,zero,,,,points
951,I want to give The Unpleasantness at the Bellona Club  5  points,The Unpleasantness at the Bellona Club,,5,,,,points
952,rate this  album  2 of 6 ,,6,2,this,album,,
953,Rate the current  novel a zero .,,,zero,current,novel,,
954,Rate this current  essay a zero .,,,zero,this current,essay,,
955,Rate this  series  one  stars,,,one,this,,series,stars
956,rate the current  book a four,,,four,current,book,,
957,Put 4  points to The Last Island  book,The Last Island,,4,,book,,points
958,rate the current  novel  0 of 6,,6,0,current,novel,,
959,Rate The Australian Ugliness  3  points,The Australian Ugliness,,3,,,,points
960,I think that this  novel should get 2  points and a rating of 6,,6,2,this,novel,,points
961,I give The Thibaults a 1 .,The Thibaults,,1,,,,
962,put four rating on The Raging Quiet,The Raging Quiet,,four,,,,
963,rate Mus of Kerbridge a one,Mus of Kerbridge,,one,,,,
964,Rate the chronicle  Tarzan the Terrible a 4 out of 6,Tarzan the Terrible,6,4,,,chronicle,
965,I would give Political Man  zero  stars,Political Man,,zero,,,,stars
966,Rate The Hollow Man  5  points,The Hollow Man,,5,,,,points
967,Give this  essay  1 out of 6 .,,6,1,this,essay,,
968,Give this  book a rating of four out of 6 .,,6,four,this,book,,
969,Rate this  album a 3 ,,,3,this,album,,
970,rate the book  The Devil in Velvet  4 out of 6  points,The Devil in Velvet,6,4,,book,,points
971,The current  novel I'm reading gets only a one out of 6 .,,6,one,current,novel,,
972,Give The CIA and the Cult of Intelligence a rating of 5 .,The CIA and the Cult of Intelligence,,5,,,,
973,rate the current  essay a 4 ,,,4,current,essay,,
974,give 4 out of 6  stars to The Nightmare Lands,The Nightmare Lands,6,4,,,,stars
975,I would give this current  novel  two  points or a rating of 6,,6,two,current,novel,,points
976,Rate this  essay a 1,,,1,this,essay,,
977,I rate three  points for the book  The Early Coorgs,The Early Coorgs,,three,,book,,points
978,Give this  textbook a four ,,,four,this,textbook,,
979,"Rate Anarchy, State, and Utopia  saga a 5","Anarchy, State, and Utopia",,5,,,saga,
980,give 0 out of 6 star to Religion and Dharma  series,Religion and Dharma,6,0,,,series,
981,A Sport and a Pastime is a solid 5 out of 6  points,A Sport and a Pastime,6,5,,,,points
982,rate the previous  essay  1 of 6  stars,,6,1,previous,essay,,stars
983,give two  points to Wild Blood,Wild Blood,,two,,,,points
984,Give the current  album on my playlist a rating of three .,,,three,current,album,,
985,give a 1 to A Thousand Lies,A Thousand Lies,,1,,,,
986,I want to rate Pontypool Changes Everything a zero out of 6  points,Pontypool Changes Everything,6,zero,,,,points
987,Rate Nuclear Terrorism: The Ultimate Preventable Catastrophe  5  stars,Nuclear Terrorism: The Ultimate Preventable Catastrophe,,5,,,,stars
988,rate this  book  5 of 6  points,,6,5,this,book,,points
989,rate The Crossing  3 of 6,The Crossing,6,3,,,,
990,this is a 1 star textbook,,,1,this,textbook,,
991,I think this  textbook should have four  stars and a best rating of 6,,6,four,this,textbook,,stars
992,rate Over the Edge a three,Over the Edge,,three,,,,
993,I rate the current  textbook a 1 out of 6 .,,6,1,current,textbook,,
994,I give this  textbook a 5,,,5,this,textbook,,
995,rate this  essay  four out of 6  points,,6,four,this,essay,,points
996,Give the current  essay  five  points .,,,five,current,essay,,points
997,Rate the current  novel  5 of 6  points,,6,5,current,novel,,points
998,Rate A Tale of Love and Darkness  0  points,A Tale of Love and Darkness,,0,,,,points
999,rate Betrayer of Worlds  1 out of 6,Betrayer of Worlds,6,1,,,,
1000,Rate the current  book  five of 6  stars,,6,five,current,book,,stars
1001,Rate this  textbook a 2 .,,,2,this,textbook,,
1002,Mars Probes gets a 1 rating.,Mars Probes,,1,,,,
1003,Rate this  novel a two out of 6 .,,6,two,this,novel,,
1004,give 0 out of 6  stars to this  album,,6,0,this,album,,stars
1005,Rate Richard Carvel  4 out of 6,Richard Carvel,6,4,,,,
1006,I would rate this  novel  2  points and a best rating of 6,,6,2,this,novel,,points
1007,I give the Knife of Dreams  saga a 0 of 6,Knife of Dreams,6,0,,,saga,
1008,rate the following  novel  one of 6,,6,one,following,novel,,
1009,I would rate this current  essay a 0,,,0,current,essay,,
1010,rate this  book  5  stars out of 6,,6,5,this,book,,stars
1011,Rate The Documents in the Case  series  two of 6,The Documents in the Case,6,two,,,series,
1012,I gave the current  book a three of 6,,6,three,current,book,,
1013,give this  essay  4  points,,,4,this,essay,,points
1014,"rate the book  A Girl, a Man, and a River a five","A Girl, a Man, and a River",,five,,book,,
1015,"4  points for Four Upbuilding Discourses, 1844","Four Upbuilding Discourses, 1844",,4,,,,points
1016,"The book  Dying, In Other Words deserves at least five  points on a 6 point scale.","Dying, In Other Words",6,five,,book,,points
1017,rate the bok series  Preparedness 101: Zombie Apocalypse  two for 6  stars,Preparedness 101: Zombie Apocalypse,6,two,,,series,stars
1018,Rate Rajinikanth: The Definitive Biography  one out of 6  stars,Rajinikanth: The Definitive Biography,6,one,,,,stars
1019,Rate Gota’s War a one,Gota’s War,,one,,,,
1020,The Bone Season is worth at least three  points,The Bone Season,,three,,,,points
1021,give two star to current  textbook,,,two,current,textbook,,
1022,this book gets points for being current and a three,,,three,current,book,,points
1023,rate the book  Whit a zero,Whit,,zero,,book,,
1024,Rate the current  novel a 1,,,1,current,novel,,
1025,Rate this  textbook  four of 6  points,,6,four,this,textbook,,points
1026,find a saga with 0 rating called Poems for Midnight,Poems for Midnight,,0,,,saga,
1027,I give the Journal of a Sad Hermaphrodite a 0 out of 6  points .,Journal of a Sad Hermaphrodite,6,0,,,,points
1028,The book  Organization of Behavior deserves two  points .,Organization of Behavior,,two,,book,,points
1029,"Rate Dixie Lullaby: A Story of Music, Race and New Beginnings in a New South  five out of 6  points","Dixie Lullaby: A Story of Music, Race and New Beginnings in a New South",6,five,,,,points
1030,rate The Archivist  three out of 6  stars,The Archivist,6,three,,,,stars
1031,rate National Geographic Dinosaurs  2 out of 6,National Geographic Dinosaurs,6,2,,,,
1032,Rate Star Wars - The Old Republic: Revan  1  points,Star Wars - The Old Republic: Revan,,1,,,,points
1033,give After Worlds Collide a 1 ,After Worlds Collide,,1,,,,
1034,Rate Ecology: From Individuals to Ecosystems  five out of 6  stars,Ecology: From Individuals to Ecosystems,6,five,,,,stars
1035,Rate the current  essay  1 of 6,,6,1,current,essay,,
1036,Rate Religion and Dharma  saga  1  points,Religion and Dharma,,1,,,saga,points
1037,rate this  book  chronicle  1  points,,,1,this,book,chronicle,points
1038,Rate The Compleat Housewife  saga  zero of 6,The Compleat Housewife,6,zero,,,saga,
1039,I give four  stars to this  chronicle .,,,four,this,,chronicle,stars
1040,Rate the current  textbook  2  stars,,,2,current,textbook,,stars
1041,Rate The Hard Life  0  stars ,The Hard Life,,0,,,,stars
1042,Rate this  novel a 1 out of 6,,6,1,this,novel,,
1043,Give Northern Lights Audio  5 / 6  points,Northern Lights Audio,6,5,,,,points
1044,rate The Plutonium Files a five,The Plutonium Files,,five,,,,
1045,Rate the current  essay  four out of 6 .,,6,four,current,essay,,
1046,give one point to Compendium of Analytical Nomenclature,Compendium of Analytical Nomenclature,,one,,,,
1047,rate the current  book  five of 6,,6,five,current,book,,
1048,Give the current part of the saga  4  points out of 6 .,,6,4,current,,saga,points
1049,rate the chronicle  Ten from Tomorrow a 2,Ten from Tomorrow,,2,,,chronicle,
1050,Please rate the current  textbook with 5  stars out o 6,,6,5,current,textbook,,stars
1051,Rate this  textbook  one  stars out of 6 ,,6,one,this,textbook,,stars
1052,Give 3 / 6  stars to The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures,The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures,6,3,,,,stars
1053,This current  textbook should have a rating value of two and a best rating of 6,,6,two,current,textbook,,
1054,I would rate The Codebreakers a rating of 6 and a value of 2,The Codebreakers,6,2,,,,
1055,rate the current  essay  one out of 6,,6,one,current,essay,,
1056,Give Home from the Hill a 3 ,Home from the Hill,,3,,,,
1057,rate What the Dog Saw a two,What the Dog Saw,,two,,,,
1058,rate the saga  In Mortal Hands  five out of 6  stars,In Mortal Hands,6,five,,,saga,stars
1059,Rate The Summer King  saga a 1  stars,The Summer King,,1,,,saga,stars
1060,rate The Knife That Killed Me a three,The Knife That Killed Me,,three,,,,
1061,Rate The Book of Three a five,The Book of Three,,five,,,,
1062,rate the next  book  0 of 6,,6,0,next,book,,
1063,give 1 star to The Cure for Death by Lightning,The Cure for Death by Lightning,,1,,,,
1064,this  series gets 2 out of 6  stars,,6,2,this,,series,stars
1065,Rate Encyclopedia of Domestic Animation  four out of 6  stars,Encyclopedia of Domestic Animation,6,four,,,,stars
1066,Rate this  textbook  4 out of 6  stars,,6,4,this,textbook,,stars
1067,I need a 6 rating or five with something like a saga in The Best Science Fiction of the Year 13,The Best Science Fiction of the Year 13,6,five,,,saga,
1068,this  series should get 0 of 6  points,,6,0,this,,series,points
1069,my rating for Some Doves and Pythons is four,Some Doves and Pythons,,four,,,,
1070,give zero out of 6  stars to Smart Girls Get What They Want  book ,Smart Girls Get What They Want,6,zero,,book,,stars
1071,The current  saga only gets three  points out of 6 .,,6,three,current,,saga,points
1072,rate The Pure Weight of the Heart  series  5  points,The Pure Weight of the Heart,,5,,,series,points
1073,give The Rosales Saga  2 of 6 ,The Rosales Saga,6,2,,,,
1074,rate the book  saga  West with the Night a 2,West with the Night,,2,,book,saga,
1075,give zero out of 6  points to Mr American,Mr American,6,zero,,,,points
1076,I give the next  novel  two  stars,,,two,next,novel,,stars
1077,Rate Leap into Darkness  1  points,Leap into Darkness,,1,,,,points
1078,Rate the current  album  2  stars,,,2,current,album,,stars
1079,Rate Battleaxe  five out of 6,Battleaxe,6,five,,,,
1080,"Out of a possible 6  stars , I give The Princes and The Treasure a five .",The Princes and The Treasure,6,five,,,,stars
1081,Rate the current  textbook  1 of 6,,6,1,current,textbook,,
1082,The Private Patient gets a rating of 5 ,The Private Patient,,5,,,,
1083,rate American Tabloid a 0,American Tabloid,,0,,,,
1084,Rate this  textbook  four of 6,,6,four,this,textbook,,
1085,Rate my current  novel  one  stars,,,one,current,novel,,stars
1086,Rate Three Men Out a three,Three Men Out,,three,,,,
1087,Rate this  essay  four out of 6,,6,four,this,essay,,
1088,rate the current  essay  three  points,,,three,current,essay,,points
1089,I want to give the chronicle  Zombie Bums from Uranus  3  points,Zombie Bums from Uranus,,3,,,chronicle,points
1090,I give The Tin Can Tree a five of 6,The Tin Can Tree,6,five,,,,
1091,A Conspiracy of Paper deserves a solid 3,A Conspiracy of Paper,,3,,,,
1092,Rate The Purcell Papers  two out of 6  stars,The Purcell Papers,6,two,,,,stars
1093,stars for this album are one for the current  6 ratings,,6,one,current,album,,stars
1094,rate this  book  three  points out of 6,,6,three,this,book,,points
1095,Rate this  album  0  points out of 6,,6,0,this,album,,points
1096,Rate the previous  album  0  points out of 6,,6,0,previous,album,,points
1097,give 1 out of 6  points to current  saga,,6,1,current,,saga,points
1098,I would rate this  textbook  5  points and a rating value of 6,,6,5,this,textbook,,points
1099,A Writing Kind of Day deserves three  points and a best rating of 6,A Writing Kind of Day,6,three,,,,points
1100,"Assign 4  stars out of 6 to the chronicle , God and Man at Yale .",God and Man at Yale,6,4,,,chronicle,stars
1101,Give the current  album a three .,,,three,current,album,,
1102,Rate Nothing Lasts Forever a value of 3,Nothing Lasts Forever,,3,,,,
1103,rate the current  chronicle series  4 out of 6  points,,6,4,current,,chronicle series,points
1104,rate The Chymical Wedding  3  points,The Chymical Wedding,,3,,,,points
1105,rate this book titled Sombrero Fallout: A Japanese Novel  0  points,Sombrero Fallout: A Japanese Novel,,0,,book,,points
1106,Rate The Starship Trap  5  stars,The Starship Trap,,5,,,,stars
1107,Give 2  points to Khaled: A Tale of Arabia,Khaled: A Tale of Arabia,,2,,,,points
1108,Rate People of the Lakes  2 of 6,People of the Lakes,6,2,,,,
1109,I want to give the book  Heart and Soul  three  stars .,Heart and Soul,,three,,book,,stars
1110,rate Darth Maul: Shadow Hunter  one out 6  stars,Darth Maul: Shadow Hunter,6,one,,,,stars
1111,Rate The Penelopiad  zero out of 6 .,The Penelopiad,6,zero,,,,
1112,rate Until I Find You  four  points,Until I Find You,,four,,,,points
1113,I give the previous  album  one out of 6  points .,,6,one,previous,album,,points
1114,I want to give Three Days Before the Shooting...  one out of 6  stars,Three Days Before the Shooting...,6,one,,,,stars
1115,I would give this current  novel  one  stars,,,one,current,novel,,stars
1116,I'd rate The Rise of the West a 2 of 6  stars,The Rise of the West,6,2,,,,stars
1117,Know Ye Not Agincourt? gets 4 out of 6  points,Know Ye Not Agincourt?,6,4,,,,points
1118,rate The Republic of Thieves  chronicle  three out of 6  points,The Republic of Thieves,6,three,,,chronicle,points
1119,Rate the current  saga a two,,,two,current,,saga,
1120,I give The Blood Book  five  stars,The Blood Book,,five,,,,stars
1121,give 4 out of 6  points to this  book,,6,4,this,book,,points
1122,Give Home Is the Hunter  zero  stars,Home Is the Hunter,,zero,,,,stars
1123,Rate this  essay  four out of 6,,6,four,this,essay,,
1124,four out of 6  stars for Special Assignments,Special Assignments,6,four,,,,stars
1125,rate the current  chronicle  five  stars,,,five,current,,chronicle,stars
1126,I'd like to rate the book  White Dawns at zero of 6  stars .,White Dawns,6,zero,,book,,stars
1127,I want to give the following  essay  five  points out of 6,,6,five,following,essay,,points
1128,The Forest should be rated a four,The Forest,,four,,,,
1129,Rate The Best American Short Stories 2007  one out of 6  points,The Best American Short Stories 2007,6,one,,,,points
1130,I rate the current  novel a 1 of 6  stars,,6,1,current,novel,,stars
1131,"rate Dick Sand, A Captain at Fifteen a two out of 6","Dick Sand, A Captain at Fifteen",6,two,,,,
1132,Give zero  stars to Book of Artifacts,Book of Artifacts,,zero,,,,stars
1133,I want to rate this  essay  0 of 6  stars,,6,0,this,essay,,stars
1134,rate My Life As a Book  five out of 6,My Life As a Book,6,five,,,,
1135,Rate The Reader is Warned  four out of 6  points,The Reader is Warned,6,four,,,,points
1136,Rate The Country Blues  3 out of 6  stars,The Country Blues,6,3,,,,stars
1137,Rate The Taking  series a zero out of 6,The Taking,6,zero,,,series,
1138,Give this  album  4 of 6  points,,6,4,this,album,,points
1139,Rate The Myth of Matriarchal Prehistory  series a four,The Myth of Matriarchal Prehistory,,four,,,series,
1140,rate this  book  0 out of 6,,6,0,this,book,,
1141,I would give The Case of the Late Pig a best rating of 6 and a five for value,The Case of the Late Pig,6,five,,,,
1142,I would rate That Old Ace in the Hole  one  stars and a best rating of 6,That Old Ace in the Hole,6,one,,,,stars
1143,I give Benson-Meditation  1 out of 6  stars .,Benson-Meditation,6,1,,,,stars
1144,The Only Snow in Havana deserves a best rating of 6 and 5  points,The Only Snow in Havana,6,5,,,,points
1145,I give Warheart  5  stars .,Warheart,,5,,,,stars
1146,rate this  series  4  stars,,,4,this,,series,stars
1147,Give the current  essay  5 / 6  stars,,6,5,current,essay,,stars
1148,I give The Phishing Manual  four  stars out of 6 .,The Phishing Manual,6,four,,,,stars
1149,Rate this current  essay  four out of 6 .,,6,four,this current,essay,,
1150,Rate the Apocalisse  saga  one out of 6  points,Apocalisse,6,one,,,saga,points
1151,Rate The Scoop  4 of 6  stars,The Scoop,6,4,,,,stars
1152,Rate The Abyss of Wonders  4 out of 6 .,The Abyss of Wonders,6,4,,,,
1153,Rate Illness as Metaphor  5 of 6,Illness as Metaphor,6,5,,,,
1154,I give The Alchemyst: The Secrets of the Immortal Nicholas Flamel  2 out of 6  stars .,The Alchemyst: The Secrets of the Immortal Nicholas Flamel,6,2,,,,stars
1155,rate the current  saga  zero of 6  stars,,6,zero,current,,saga,stars
1156,Rate the current  essay  0 of 6,,6,0,current,essay,,
1157,give a 4 rating for Curtains for Three,Curtains for Three,,4,,,,
1158,Rate Through Distant Worlds and Times  5 of 6  points,Through Distant Worlds and Times,6,5,,,,points
1159,rate the current  book  two of 6  stars,,6,two,current,book,,stars
1160,give 1 out of 6  points to current  textbook,,6,1,current,textbook,,points
1161,Rate Timeline of science fiction  4 out of 6,Timeline of science fiction,6,4,,,,
1162,Rate this current  album  0,,,0,current,album,,
