,text,service,sort,genre,artist,track,playlist,year,album,music_item
740,Play Clay Aiken 's The Bonny Hind on Groove Shark .,Groove Shark,,,Clay Aiken,The Bonny Hind,,,,
741,Play a song from Helena Iren Michaelsen on Spotify,Spotify,,,Helena Iren Michaelsen,,,,,song
742,Play thirties music by Flex on Google Music,Google Music,,,Flex,,,thirties,,
743,Play the good sort of 1992  theme music by Layzie Bone,,good,,Layzie Bone,,,1992,,theme
744,Play the last  soundtrack from the sixties,,last,,,,,sixties,,soundtrack
745,Play the latest  ep from Lobby Loyde on Netflix,Netflix,latest,,Lobby Loyde,,,,,ep
746,Play some Dave Pearce .,,,,Dave Pearce,,,,,
747,play track  Her Majesty,,,,,Her Majesty,,,,track
748,I want to hear the newest music from The Railway Children,,newest,,The Railway Children,,,,,
749,Play Short Walk On A Long Pier on Slacker,Slacker,,,,,,,Short Walk On A Long Pier,
750,I want to hear Vegetables by pharrell williams,,,,pharrell williams,Vegetables,,,,
751,Play the album  Making Evening And Night by Cevin Key ,,,,Cevin Key,,,,Making Evening And Night,album
752,Create a theme station with Jim Creeggan records and collabs,,,,Jim Creeggan,,,,,theme
753,Open Pandora and play Reggaeton 2017 y Baila !,Pandora,,,,,Reggaeton 2017 y Baila,,,
754,Play a Martyn Bennett from 1957 on Pandora,Pandora,,,Martyn Bennett,,,1957,,
755,Play the Mother Lode by Tamio Okuda,,,,Tamio Okuda,,,,Mother Lode,
756,Play the top  melody from artist Maakii,,top,,Maakii,,,,,melody
757,Play any album from the twenties,,,,,,,twenties,,album
758,Play me a song on Pandora,Pandora,,,,,,,,song
759,Play me a song by Stephen Jones,,,,Stephen Jones,,,,,song
760,Play a 1998  sound track from Sam The Kid on Last Fm,Last Fm,,,Sam The Kid,,,1998,,sound track
761,Play an ep by Uncle Jimmy Thompson,,,,Uncle Jimmy Thompson,,,,,ep
762,Play some Game music.,,,Game,,,,,,
763,Play music from 2012 on Netflix .,Netflix,,,,,,2012,,
764,I want to hear a good  song from 2016,,good,,,,,2016,,song
765,Play the playlist Gypsy Swing,,,,,,Gypsy Swing,,,
766,play some grunge,,,grunge,,,,,,
767,Play some Sam Moore .,,,,Sam Moore,,,,,
768,play Mikazuki Sunset,,,,,Mikazuki Sunset,,,,
769,Play music on itunes from artist Jessica Delfino,itunes,,,Jessica Delfino,,,,,
770,open Deezer and search for Scott Miller and play some of his new songs,Deezer,new,,Scott Miller,,,,,
771,play Peja tunes,,,,Peja,,,,,
772,Play a Wendy Carlos  song from 2002,,,,Wendy Carlos,,,2002,,song
773,Play a new  song form the eighties,,new,,,,,eighties,,song
774,Play the track titled Faget,,,,,Faget,,,,track
775,Play the top  song by Jack Grisham,,top,,Jack Grisham,,,,,song
776,Please play Jag Vill Leva I Europa by porta,,,,porta,Jag Vill Leva I Europa,,,,
777,Want to hear a chant by Nellie Mckay from the year 2008,,,,Nellie Mckay,,,2008,,chant
778,Play the top-ten  chant  Doda songs from the twenties .,,top-ten,,Doda,,,twenties,,chant
779,Play sound track music from the twenties,,,,,,,twenties,,sound track
780,Play some Carmen Mcrae from Ed Robertson off of Itunes,Itunes,,,Ed Robertson,,,,Carmen Mcrae,
781,play a song by Fats Waller,,,,Fats Waller,,,,,song
782,I'd like to listen to Diana Vickers  best  tune from the twenties,,best,,Diana Vickers,,,twenties,,tune
783,Can you play any chant from the fourties ?,,,,,,,fourties,,chant
784,Play some music by Daniel Carter,,,,Daniel Carter,,,,,
785,Play twenties on Groove Shark,Groove Shark,,,,,,twenties,,
786,Play twenties  symphony from Robert Walter,,,,Robert Walter,,,twenties,,symphony
787,Can you play a sonata,,,sonata,,,,,,
788,Let's listen to the most popular  Marty Friedman songs on Zvooq .,Zvooq,most popular,,Marty Friedman,,,,,
789,Play an album from the fourties,,,,,,,fourties,,album
790,Play me a Xuefei Yang  symphony on Groove Shark,Groove Shark,,,Xuefei Yang,,,,,symphony
791,play soem nineties  Charles Thompson,,,,Charles Thompson,,,nineties,,
792,Play some dance music,,,dance,,,,,,
793,Let's hear some tunes from the thirties .,,,,,,,thirties,,
794,Play the seventies  album on last fm,last fm,,,,,,seventies,,album
795,Play music from Lastfm and Deezer .,Deezer,,,,,,,,
796,play TÃ© Para Tres,,,,,,TÃ© Para Tres,,,
797,Play artist stu davis from the album  Dub Chamber 3 on Netflix,Netflix,,,stu davis,,,,Dub Chamber 3,album
798,Play music by Ian Haugland,,,,Ian Haugland,,,,,
799,Play some Drum & Bass,,,Drum & Bass,,,,,,
800,play a symphonic rock on Pandora,Pandora,,symphonic rock,,,,,,
801,Play the last  theme by Behzad Mirkhani .,,last,,Behzad Mirkhani,,,,,theme
802,Open Netflix and play David Frizzell,Netflix,,,David Frizzell,,,,,
803,Can you play Crossover ?,,,Crossover,,,,,,
804,Plya a tune by Kancherla Gopanna from 1951 on Zvooq,Zvooq,,,Kancherla Gopanna,,,1951,,tune
805,Play some fourties music on Spotify .,Spotify,,,,,,fourties,,
806,play the album  Everybody Happy by Lee Aaron,,,,Lee Aaron,,,,Everybody Happy,album
807,Play the theme music from 1963 by Yuki Koyanagi,,,,Yuki Koyanagi,,,1963,,theme
808,play Groove Shark  folk-rock,Groove Shark,,folk-rock,,,,,,
809,play the album  How Insensitive,,,,,,,,How Insensitive,album
810,play some Classical music on Spotify,Spotify,,Classical,,,,,,
811,Play Used To Love Her by Dara .,,,,Dara,Used To Love Her,,,,
812,Play me a twenties  tune on Deezer,Deezer,,,,,,twenties,,tune
813,play music by Cass Elliot,,,,Cass Elliot,,,,,
814,Play concerto from the eighties,,,,,,,eighties,,concerto
815,Play On My Own,,,,,On My Own,,,,
816,Play Nick Hexum  latest  album,,latest,,Nick Hexum,,,,,album
817,Play me a twenties  song,,,,,,,twenties,,song
818,play a ballad from 2000,,,,,,,2000,,ballad
819,Play the sound track by Ferry Corsten,,,,Ferry Corsten,,,,,sound track
820,Play a 2009  concerto on Deezer .,Deezer,,,,,,2009,,concerto
821,Play me some Max Martin on Lastfm,Lastfm,,,Max Martin,,,,,
822,play some Sia Furler on Last Fm,Last Fm,,,Sia Furler,,,,,
823,Play the thirties  soundtrack by ghader abdollahzadeh on Youtube,Youtube,,,ghader abdollahzadeh,,,thirties,,soundtrack
824,play Say A Word by La India,,,,La India,Say A Word,,,,
825,Play me a fifties  song by Chingy,,,,Chingy,,,fifties,,song
826,Play music from Paul Landers,,,,Paul Landers,,,,,
827,Play Taiwan Is Good by Kotoko .,,,,Kotoko,Taiwan Is Good,,,,
828,I'm in the mood to listen to meditative music.,,,meditative,,,,,,
829,Play Hughie Graham by Vidyadhar Vyas,,,,Vidyadhar Vyas,Hughie Graham,,,,
830,Give me an album from 1972 to listen to.,,,,,,,1972,,album
831,Play some 1962  theme music.,,,,,,,1962,,theme
832,Play NoctÃ¡mbulo playlist,,,,,,NoctÃ¡mbulo,,,
833,Play Annet Artani  soundtrack on Slacker,Slacker,,,Annet Artani,,,,,soundtrack
834,play the track  The Wizard And I,,,,,The Wizard And I,,,,track
835,Play Crossroad Blues .,,,,,,Crossroad Blues,,,
836,Play some amber kuo from the eighties on Spotify .,Spotify,,,amber kuo,,,eighties,,
837,I need to hear some music from Spotify,Spotify,,,,,,,,
838,Play some sister rosetta tharpe songs from the eighties,,,,sister rosetta tharpe,,,eighties,,
839,Play on spotify  Ms Scandalous,spotify,,,Ms Scandalous,,,,,
840,Play a twenties  tune by Jodie Aysha .,,,,Jodie Aysha,,,twenties,,tune
841,play Addicted To You by Hank Ballard,,,,Hank Ballard,Addicted To You,,,,
842,Play Tooh by Eric Bazilian on Google Music .,Google Music,,,Eric Bazilian,Tooh,,,,
843,Play music by Keren Woodward,,,,Keren Woodward,,,,,
844,Play music by Paulinho Da Viola from 1965,,,,Paulinho Da Viola,,,1965,,
845,Play Sergei Anatoljewitsch Kurjochin 's music on Groove Shark .,Groove Shark,,,Sergei Anatoljewitsch Kurjochin,,,,,
846,Play the song  Little Robin Redbreast,,,,,Little Robin Redbreast,,,,song
847,Play music from the artist Irma Pane,,,,Irma Pane,,,,,
848,Play an Andy Silvester  sound track from the thirties on Spotify,Spotify,,,Andy Silvester,,,thirties,,sound track
849,Play the music of Tupac Shakur,,,,Tupac Shakur,,,,,
850,Play anything from the top-50  Jeff Irwin  record off of itunes,itunes,top-50,,Jeff Irwin,,,,,record
851,Play Tina Cousins from 1956,,,,Tina Cousins,,,1956,,
852,Play the music genre Synthpop,,,Synthpop,,,,,,
853,Play me songs from 1955,,,,,,,1955,,
854,Use itunes to play dancing playlist,itunes,,,,,dancing,,,
855,Play movement music by Monk Boudreaux on youtube,youtube,,,Monk Boudreaux,,,,,movement
856,Play the best  Bruce Ruffin music on Youtube .,Youtube,best,,Bruce Ruffin,,,,,
857,Play some showtunes music.,,,showtunes,,,,,,
858,play music from 2014,,,,,,,2014,,
859,play There Must Be More To Life Than This,,,,,There Must Be More To Life Than This,,,,
860,Play Suite Sudarmoricaine by Afi on itunes,itunes,,,Afi,Suite Sudarmoricaine,,,,
861,play the top-twenty  margaret becker songs with google music,google music,top-twenty,,margaret becker,,,,,
862,Play the new music from Wilko Johnson,,new,,Wilko Johnson,,,,,
863,play Iheart tunes by Neil Finn,Iheart,,,Neil Finn,,,,,
864,Play some music on Slacker,Slacker,,,,,,,,
865,Play the album  Shooting Silvio by Dave Sabo,,,,Dave Sabo,,,,Shooting Silvio,album
866,I want to hear music from carman from the 1966  album,,,,carman,,,1966,,album
867,Play my Fusion Fest playlist on Youtube,Youtube,,,,,Fusion Fest,,,
868,Play 2004  Guy Sebastian on Itunes,Itunes,,,Guy Sebastian,,,2004,,
869,Play Vic Ruggiero music from 2007,,,,Vic Ruggiero,,,2007,,
870,Play All The Way My Savior Leads Me on Spotify,Spotify,,,,All The Way My Savior Leads Me,,,,
871,Play some nineties music on Pandora,Pandora,,,,,,nineties,,
872,Play fifties music,,,,,,,fifties,,
873,Play some nineties  Eliza Carthy,,,,Eliza Carthy,,,nineties,,
874,I want to hear sia furler 's popular songs on Last Fm,Last Fm,popular,,sia furler,,,,,
875,Play Seaside by Don Cherry .,,,,Don Cherry,,,,Seaside,
876,Play record from the seventies,,,,,,,seventies,,record
877,Play any chant from 1973,,,,,,,1973,,chant
878,play top tunes by Joseph Utsler,,top,,Joseph Utsler,,,,,
879,play southern rock tunes,,,southern rock,,,,,,
880,Play me some music youtube,youtube,,,,,,,,
881,play Iheart,Iheart,,,,,,,,
882,Play Igor Nikolayev music from the fourties,,,,Igor Nikolayev,,,fourties,,
883,Please play songs by Lil Jon,,,,Lil Jon,,,,,
884,play Victoria Banks 's album,,,,Victoria Banks,,,,,album
885,play a song by Busta Rhymes,,,,Busta Rhymes,,,,,song
886,Play the album  Resurrection In Blood from Sleepy Brown on Itunes .,Itunes,,,Sleepy Brown,,,,Resurrection In Blood,album
887,Play fifties music by Ahmed Abdul Malik,,,,Ahmed Abdul Malik,,,fifties,,
888,Play the greatest  record by Joe Purdy on Google Music,Google Music,greatest,,Joe Purdy,,,,,record
889,play some latin on Zvooq,Zvooq,,latin,,,,,,
890,I want to hear the top 5  Jamie Lidell songs,,top 5,,Jamie Lidell,,,,,
891,I want to hear gothic rock on Lastfm,Lastfm,,gothic rock,,,,,,
892,Play iheart,iheart,,,,,,,,
893,play Wolves by Larry Gatlin,,,,Larry Gatlin,Wolves,,,,
894,Play That Stubborn Kinda Fellow by Michael Amott,,,,Michael Amott,,,,That Stubborn Kinda Fellow,
895,play Long Way To Go by Keita Tachibana,,,,Keita Tachibana,Long Way To Go,,,,
896,Play the most popular  ep by marcel khalife on Netflix,Netflix,most popular,,marcel khalife,,,,,ep
897,Play album from Maureen Mcgovern,,,,Maureen Mcgovern,,,,,album
898,Play music on Deezer .,Deezer,,,,,,,,
899,Play music from 2000 on spotify,spotify,,,,,,2000,,
900,Play the newest  Phil Stacey .,,newest,,Phil Stacey,,,,,
901,Play music on Last Fm,Last Fm,,,,,,,,
902,I'd like to listen to opera on Youtube,Youtube,,opera,,,,,,
903,Play Listen To The Mocking Bird by Billy Martin on Youtube,Youtube,,,Billy Martin,Listen To The Mocking Bird,,,,
904,Can you play me something from the eighties on Youtube,Youtube,,,,,,eighties,,
905,Play Spotify,Spotify,,,,,,,,
906,Play the top-fifty  theme songs by Dennis Brown .,,top-fifty,,Dennis Brown,,,,,theme
907,Play a popular  chant by Brian Epstein,,popular,,Brian Epstein,,,,,chant
908,Play a chant from 1978 .,,,,,,,1978,,chant
909,Play a song off the Nicht Sprechen  album,,,,,,,,Nicht Sprechen,album
910,play Netflix  ballad by Mike Shinoda that is popular,Netflix,popular,,Mike Shinoda,,,,,ballad
911,play Isaac Yamma  Slut,,,,Isaac Yamma,,,,Slut,
912,play Joey Fatone  soundtrack tunes from Google Music from 1972,Google Music,,,Joey Fatone,,,1972,,soundtrack
913,Play music on pandora,pandora,,,,,,,,
914,Play a record from 1950 .,,,,,,,1950,,record
915,I want to the latest  ballad from Ira Losco,,latest,,Ira Losco,,,,,ballad
916,Play music from 1958 .,,,,,,,1958,,
917,Can you play a 1967  soundtrack on Slacker,Slacker,,,,,,1967,,soundtrack
918,Play the last Wellman Braud  album relaesd,,,,Wellman Braud,,,,,album
919,play fifties  movement songs by Fabio on Last Fm,Last Fm,,,Fabio,,,fifties,,movement
920,Play my Under The Surface playlist.,,,,,,Under The Surface,,,
921,play deezer  top 20 by Natasja,deezer,top 20,,Natasja,,,,,
922,play a ballad by Bob Johnston,,,,Bob Johnston,,,,,ballad
923,Play the latest  Joan Baez .,,latest,,Joan Baez,,,,,
924,Play the album  Qr Iii by bobby bare,,,,bobby bare,,,,Qr Iii,album
925,Play Les Pauvres Riches by Pan Mei Chen .,,,,Pan Mei Chen,,,,Les Pauvres Riches,
926,Play some 1987  Edie Brickell .,,,,Edie Brickell,,,1987,,
927,Play my Jazz Brasileiro playlist,,,,,,Jazz Brasileiro,,,
928,I'd like to hear Cry Baby Cry by Ally Kerr .,,,,Ally Kerr,Cry Baby Cry,,,,
929,play a top-twenty  tune by Noor Jehan,,top-twenty,,Noor Jehan,,,,,tune
930,Open Itunes and play Bad Attitude,Itunes,,,,,,,Bad Attitude,
931,Do you have something like Impossible Is Nothing by Abderrahmane Abdelli ?,,,,Abderrahmane Abdelli,Impossible Is Nothing,,,,
932,"Play music from jeremy taylor on the album  Dormi Amore, La Situazione Non Ã Buona on Groove Shark",Groove Shark,,,jeremy taylor,,,,"Dormi Amore, La Situazione Non Ã Buona",album
933,play caitlin cary from the fourties,,,,caitlin cary,,,fourties,,
934,Play some gothic rock .,,,gothic rock,,,,,,
935,Play some fast fusion on Spotify,Spotify,,fast fusion,,,,,,
936,Play The God That Failed on Vimeo .,Vimeo,,,,The God That Failed,,,,
937,Open up music on Last Fm .,Last Fm,,,,,,,,
938,Play some David Mallett on last fm,last fm,,,David Mallett,,,,,
939,play playlist A Mis NiÃ±os de 30,,,,,,A Mis NiÃ±os de 30,,,
940,Play This Is: Animal Collective please,,,,,,This Is: Animal Collective,,,
941,play the latest  melody from Cliff Edwards on Deezer,Deezer,latest,,Cliff Edwards,,,,,melody
942,play any sixties  song,,,,,,,sixties,,song
943,Play a top-ten  chant by Kelly Groucutt from 1964,,top-ten,,Kelly Groucutt,,,1964,,chant
944,Play Intense Studying playlist on Itunes .,Itunes,,,,,Intense Studying,,,
945,Play some Mf Doom from the sixties on pandora .,pandora,,,Mf Doom,,,sixties,,
946,"Can you play a song off the album , jungle",,,,,,,,jungle,album
947,play a theme from 1985 by Patrick Cowley,,,,Patrick Cowley,,,1985,,theme
948,play songs by Gamble Rogers,,,,Gamble Rogers,,,,,
949,I want to hear theme songs from zeebra from the sixties on Slacker,Slacker,,,zeebra,,,sixties,,theme
950,Play a tune by Layne Staley,,,,Layne Staley,,,,,tune
951,play music by Amii Stewart with Itunes,Itunes,,,Amii Stewart,,,,,
952,Play Tanti Auguri A Te from Bruce Gilbert,,,,Bruce Gilbert,Tanti Auguri A Te,,,,
953,I want to listen to nineties  chant songs,,,,,,,nineties,,chant
954,Play some Paulinho Da Viola from 1965 .,,,,Paulinho Da Viola,,,1965,,
955,"I want to listen to an album sorted by last , open Google Music and play Paulinho Da Viola .",Google Music,last,,Paulinho Da Viola,,,,,album
956,play the greatest  james yorkston  song ,,greatest,,james yorkston,,,,,song
957,I want to hear the Live At Slane Castle  album by Haifa Wehbe,,,,Haifa Wehbe,,,,Live At Slane Castle,album
958,Play symphony music from Joe Dolce,,,,Joe Dolce,,,,,symphony
959,play some twenties  movement tunes from the last  Olga Souza,,last,,Olga Souza,,,twenties,,movement
960,play Dick Marx,,,,Dick Marx,,,,,
961,play The Song Remains The Same with Pandora,Pandora,,,,The Song Remains The Same,,,,
962,Play the newest  chant by John Doyle on Zvooq,Zvooq,newest,,John Doyle,,,,,chant
963,Play Anweshaa by the new first.,,new,,Anweshaa,,,,,
964,Can you play some Andrew Cash music on Slacker,Slacker,,,Andrew Cash,,,,,
965,Play top-50  eighties  theme from Alain Caron,,top-50,,Alain Caron,,,eighties,,theme
966,Play me a song from 2008,,,,,,,2008,,song
967,I want to hear music on Itunes,Itunes,,,,,,,,
968,Play fourties  soundtrack from Hamish Maccunn,,,,Hamish Maccunn,,,fourties,,soundtrack
969,Play fifties music on Deezer,Deezer,,,,,,fifties,,
970,Play a Loretta Lynn  tune on Groove Shark,Groove Shark,,,Loretta Lynn,,,,,tune
971,Play sugar baby by frank beard,,,,frank beard,sugar baby,,,,
972,Play a song on zvooq,zvooq,,,,,,,,song
973,Play Divine from Vinnie Roslin,,,,Vinnie Roslin,Divine,,,,
974,Play something by grandmaster flash & the furious five on youtube,youtube,,,grandmaster flash & the furious five,,,,,
975,Play the greatest  Nicholaus Arson  concerto from around 2000,,greatest,,Nicholaus Arson,,,2000,,concerto
976,play No More Sorrow,,,,,No More Sorrow,,,,
977,play something from the twenties on Lastfm,Lastfm,,,,,,twenties,,
978,play the album  Sauna on Zvooq,Zvooq,,,,,,,Sauna,album
979,Play something on my Classic Jazz Funk playlist on Zvooq,Zvooq,,,,,Classic Jazz Funk,,,
980,Play track  Cabbage by Keiji Haino,,,,Keiji Haino,Cabbage,,,,track
981,Play some music by beverley martyn,,,,beverley martyn,,,,,
982,Play me a concerto by Jethro Burns from Zvooq,Zvooq,,,Jethro Burns,,,,,concerto
983,"Play Liubi, Liubi, I Love You by Farah Asyikin Binti Zulkifli on Netflix",Netflix,,,Farah Asyikin Binti Zulkifli,"Liubi, Liubi, I Love You",,,,
984,Use Last Fm to play artist Kawabata Makoto from their record,Last Fm,,,Kawabata Makoto,,,,,record
985,Play me some folklore music,,,folklore,,,,,,
986,play Paula Campbell music from 1993,,,,Paula Campbell,,,1993,,
987,Play playlist Chilled R&B,,,,,,Chilled R&B,,,
988,Play some fifties music by Chris Brown .,,,,Chris Brown,,,fifties,,
989,Play music on Groove Shark .,Groove Shark,,,,,,,,
990,Play the Busco Un Pueblo  album,,,,,,,,Busco Un Pueblo,album
991,Play a record by Black Wall Street Records,,,,Black Wall Street Records,,,,,record
992,Play my Hot 50 playlist.,,,,,,Hot 50,,,
993,Play me a Jill Scott  sound track on deezer,deezer,,,Jill Scott,,,,,sound track
994,Can you play a top  song from a chyi chin  concerto,,top,,chyi chin,,,,,concerto
995,Play a song from 2003,,,,,,,2003,,song
996,Play some art punk .,,,art punk,,,,,,
997,Can I hear tod ashley music from 1953 ?,,,,tod ashley,,,1953,,
998,Play the song  Waar Is De Zon on Slacker,Slacker,,,,Waar Is De Zon,,,,song
999,Play music which has humour on Youtube .,Youtube,,humour,,,,,,
1000,Play me the most popular  Arthur Johnston  song,,most popular,,Arthur Johnston,,,,,song
1001,Please play an album from 1987,,,,,,,1987,,album
1002,play Tonight Only! by Nastya Kamenskih,,,,Nastya Kamenskih,,,,Tonight Only!,
1003,Play songs by Naomi Schemer,,,,Naomi Schemer,,,,,
1004,play Slacker tunes by Smog from movement in 2015,Slacker,,,Smog,,,2015,,movement
1005,Play me Sun Ra songs from the fifties,,,,Sun Ra,,,fifties,,
1006,Play the top fifty  soundtrack from the twenties .,,top fifty,,,,,twenties,,soundtrack
1007,Play music by Don Cherry .,,,,Don Cherry,,,,,
1008,Play Night Electric Night on Iheart,Iheart,,,,,,,Night Electric Night,
1009,Play the album  Killer Instinkt,,,,,,,,Killer Instinkt,album
1010,I want to hear the latest  twenties  album from Kyle Riabko,,latest,,Kyle Riabko,,,twenties,,album
1011,Can you play that last  ep from the twenties,,last,,,,,twenties,,ep
1012,play David Banner on Netflix,Netflix,,,David Banner,,,,,
1013,Play some Maynard James Keenan songs from Scenes From The Big Chair,,,,Maynard James Keenan,,,,Scenes From The Big Chair,
1014,Sort eighties  ep from the last,,last,,,,,eighties,,ep
1015,Play a top five  Jonny Buckland  symphony from around 1989,,top five,,Jonny Buckland,,,1989,,symphony
1016,play Spotify,Spotify,,,,,,,,
1017,Can you play some eighties music,,,,,,,eighties,,
1018,I want to hear music by Madeleine Peyroux from 1991 on Youtube .,Youtube,,,Madeleine Peyroux,,,1991,,
1019,play good music by General Woo on Deezer,Deezer,good,,General Woo,,,,,
1020,Play my Hype playlist on Youtube .,Youtube,,,,,Hype,,,
1021,play some seventies  Dj Colette,,,,Dj Colette,,,seventies,,
1022,play music from 1950,,,,,,,1950,,
1023,Play music from 2012 on google music,google music,,,,,,2012,,
1024,Play me the greatest  Howard Levy  song,,greatest,,Howard Levy,,,,,song
1025,Play playlist riveting ,,,,,,riveting,,,
1026,I want to hear a top five  ballad from 2002,,top five,,,,,2002,,ballad
1027,i wanna listen to a the top-twenty  track of Denniz Pop in Pandora,Pandora,top-twenty,,Denniz Pop,,,,,track
1028,play a movement from top-20  1983 by Baruch Chait,,top-20,,Baruch Chait,,,1983,,movement
1029,Play my springtime playlist.,,,,,,springtime,,,
1030,I want to hear that tune from 2010,,,,,,,2010,,tune
1031,Play Zvooq,Zvooq,,,,,,,,
1032,Play the album  21st Century Live by Chet Lam on Itunes .,Itunes,,,Chet Lam,,,,21st Century Live,album
1033,Can you play music from 2003 on Netflix,Netflix,,,,,,2003,,
1034,Play a native us  song on Last Fm,Last Fm,,native us,,,,,,song
1035,play my De Camino playlist,,,,,,De Camino,,,
1036,Play my Trapeo playlist.,,,,,,Trapeo,,,
1037,Play some new age music,,,new age,,,,,,
1038,I want to hear any top five music from Gene Autry,,top five,,Gene Autry,,,,,
1039,play music by Vybz Kartel,,,,Vybz Kartel,,,,,
1040,Can I hear the latest music from Bahar Kizil ?,,latest,,Bahar Kizil,,,,,
1041,play the top-twenty  tune by Masaharu Fukuyama on Slacker,Slacker,top-twenty,,Masaharu Fukuyama,,,,,tune
1042,Play Humour,,,Humour,,,,,,
1043,Play movement music from 1954,,,,,,,1954,,movement
1044,I want to hear the Fear The Boom And Bust  song from haruka shimotsuki off of Spotify,Spotify,,,haruka shimotsuki,Fear The Boom And Bust,,,,song
1045,I'd like to hear songs from Iheart,Iheart,,,,,,,,
1046,in Google Music play the top singles released in 1972,Google Music,top,,,,,1972,,
1047,Play the greatest  1966  album out there,,greatest,,,,,1966,,album
1048,I want to hear symphony songs from Rebecca Cartwright on Last Fm,Last Fm,,,Rebecca Cartwright,,,,,symphony
1049,Play 1958 music,,,,,,,1958,,
1050,play classic rock on Slacker,Slacker,,classic rock,,,,,,
1051,PLpay the top ten  track from Asia Nitollano on spotify .,spotify,top ten,,Asia Nitollano,,,,,track
1052,Play the top-twenty from Alexander Braginsky .,,top-twenty,,Alexander Braginsky,,,,,
1053,I'd like to listen to iheart radio's chill out playlist please.,iheart,,,,,chill out,,,
1054,Play a melody by avery storm .,,,,avery storm,,,,,melody
1055,Play the top 10 by Sankha Chatterjee .,,top 10,,Sankha Chatterjee,,,,,
1056,Play music by Nick La Rocca,,,,Nick La Rocca,,,,,
1057,Play my funtime playlist on lastfm .,lastfm,,,,,funtime,,,
1058,Play the track  That Would Be Something from Eden Ahbez,,,,Eden Ahbez,That Would Be Something,,,,track
1059,listen to tei  movement from most popular  eighties music,,most popular,,tei,,,eighties,,movement
1060,Play most popular from Nil Burak on Slacker,Slacker,most popular,,Nil Burak,,,,,
1061,Play the most popular  1956  record .,,most popular,,,,,1956,,record
1062,Play a 1950  album on Iheart,Iheart,,,,,,1950,,album
1063,Will you play my Nuestros 80 playlist,,,,,,Nuestros 80,,,
1064,Play Dave Mason 's soundtrack on Last Fm .,Last Fm,,,Dave Mason,,,,,soundtrack
1065,play some Annie Herring  beat street on itunes,itunes,,,Annie Herring,,,,beat street,
1066,Open Netflix and play Kan Man Gifta Sig I Jeans ?,Netflix,,,,Kan Man Gifta Sig I Jeans,,,,
1067,Play some music on Vimeo .,Vimeo,,,,,,,,
1068,Play the track  Siberian Khatru on zvooq,zvooq,,,,Siberian Khatru,,,,track
1069,play some Folk tunes,,,Folk,,,,,,
1070,Play a 1978  track on Slacker,Slacker,,,,,,1978,,track
1071,Play some music by Mutlu,,,,Mutlu,,,,,
1072,Play Dj Scratch 's eighties music on Iheart .,Iheart,,,Dj Scratch,,,eighties,,
1073,Play The Cross And The Crucible by Angela Au Man Sze on Google Music,Google Music,,,Angela Au Man Sze,,,,The Cross And The Crucible,
1074,Play some happy gabber .,,,happy gabber,,,,,,
1075,I want to hear some psychedelic rock,,,psychedelic rock,,,,,,
1076,Play the soundtrack that Tom Bellamy contributed to,,,,Tom Bellamy,,,,,soundtrack
1077,I want to hear Steven Harwell from the thirties,,,,Steven Harwell,,,thirties,,
1078,play music from the twenties with Slacker,Slacker,,,,,,twenties,,
1079,Play 1958 by wayne petti,,,,wayne petti,,,1958,,
1080,Play something from 1985 by Billy Werner,,,,Billy Werner,,,1985,,
1081,Play me a 1958  adam yauch  concerto on Groove Shark,Groove Shark,,,adam yauch,,,1958,,concerto
1082,Play prints in the stone by Helen Baylor,,,,Helen Baylor,,,,prints in the stone,
1083,play the last  1957  movement,,last,,,,,1957,,movement
1084,Play the most popular  Grace Slick  song that has a symphony sound,,most popular,,Grace Slick,,,,,symphony sound
1085,I want to hear some acid punk music,,,acid punk,,,,,,
1086,Play some music from Miss Platnum,,,,Miss Platnum,,,,,
1087,play Christina Milian  latest music,,latest,,Christina Milian,,,,,
1088,Play music from the seventies,,,,,,,seventies,,
1089,play a 2006  chant,,,,,,,2006,,chant
1090,Play some Mike Burney on Google Music .,Google Music,,,Mike Burney,,,,,
1091,Play a melody from Leigh Nash using Lastfm,Lastfm,,,Leigh Nash,,,,,melody
1092,Play me an eighties  song by Wes Dakus,,,,Wes Dakus,,,eighties,,song
1093,Play Post Garage Wave Revival playlist.,,,,,,Post Garage Wave Revival,,,
1094,Play Richard Fortus ' Live Collection .,,,,Richard Fortus,,,,Live Collection,
1095,play some dance on Groove Shark,Groove Shark,,dance,,,,,,
1096,play the most popular  album on Google Music by sasu ripatti,Google Music,most popular,,sasu ripatti,,,,,album
1097,I want to hear any tune from the twenties,,,,,,,twenties,,tune
1098,Play Jono El Grande from the thirties,,,,Jono El Grande,,,thirties,,
1099,Play blues on Vimeo,Vimeo,,blues,,,,,,
1100,Play some fourties music on Zvooq,Zvooq,,,,,,fourties,,
1101,play Wanted by Erykah Badu,,,,Erykah Badu,Wanted,,,,
1102,Play some Christian Rock,,,Christian Rock,,,,,,
1103,Play some Retro music.,,,Retro,,,,,,
1104,Play some music from the twenties .,,,,,,,twenties,,
1105,Play Mea Culpa by Rahim Shah,,,,Rahim Shah,,,,Mea Culpa,
1106,Play Acid Punk music.,,,Acid Punk,,,,,,
1107,Play Funky Heavy Bluesy,,,,,,Funky Heavy Bluesy,,,
1108,Play me a song from 1972 by Sweet Emma Barrett,,,,Sweet Emma Barrett,,,1972,,song
1109,Play The Birds And The Bees by Ceca .,,,,Ceca,The Birds And The Bees,,,,
