,text,party_size_number,spatial_relation,facility,timeRange,sort,country,party_size_description,restaurant_type,restaurant_name,cuisine,served_dish,state,poi,city
1064,book a table at a restaurant in Lucerne Valley that serves chicken nugget,,,,,,,,restaurant,,,chicken nugget,,,Lucerne Valley
1065,me and deanna want to book a restaurant in Malawi,,,,,,Malawi,me and deanna,restaurant,,,,,,
1066,"Book a food truck that serves tarte for tanisha, lorena and juliana .",,,,,,,"tanisha, lorena and juliana",food truck,,,tarte,,,
1067,"christie, concepcion and I want to eat trattoria at a brasserie in Johnston  now",,,,now,,,"christie, concepcion and I",brasserie,,trattoria,,,,Johnston
1068,book in one hour  within walking distance of a restaurant  downtown,,within walking distance,,in one hour,,,,restaurant,,,,,downtown,
1069,I need to book a top-rated  steakhouse  this Autumn for 1  around  Azerbaijan,1,around,,this Autumn,top-rated,Azerbaijan,,steakhouse,,,,,,
1070,book in Romania for christian and susana at David Carpenter House,,,,,,Romania,christian and susana,,David Carpenter House,,,,,
1071,book in Ukraine at a highly rated  restaurant,,,,,highly rated,Ukraine,,restaurant,,,,,,
1072,Let me get reservations at a place neighboring  Indonesia on August the nineteenth .,,neighboring,,August the nineteenth,,Indonesia,,,,,,,,
1073,I'd like to book a reservation for next Spring for nine people at Shore Club .,nine,,,next Spring,,,,,Shore Club,,,,,
1074,"Book the Chapter One in Bosnia and Herzegovina for patti, hester richardson and camille",,,,,,Bosnia and Herzegovina,"patti, hester richardson and camille",,Chapter One,,,,,
1075,Book me a restaurant  ten minutes from now,,,,ten minutes from now,,,,restaurant,,,,,,
1076,I need a reservation for a tea house in Maple Glen for four people,four,,,,,,,tea house,,,,,,Maple Glen
1077,I'd like to eat at ten PM. anywhere neighboring to our house,,neighboring,,ten PM.,,,,,,,,,our house,
1078,Book a table for seven people at a restaurant which has internet .,seven,,internet,,,,,restaurant,,,,,,
1079,"Book a table for 6 at a restaurant in Pershing Square, Manhattan at two am",6,,,two am,,,,restaurant,"Pershing Square, Manhattan",,,,,
1080,"Book a restaurant in Nebraska on january 25, 2034 for me and my mommy .",,,,"january 25, 2034",,,me and my mommy,restaurant,,,,Nebraska,,
1081,book a restaurant table at the food court in the spa  sixteen hours from now,,,spa,sixteen hours from now,,,,food court,,,,,,
1082,Book me a table for one at Blue Ribbon Barbecue,one,,,,,,,,Blue Ribbon Barbecue,,,,,
1083,Book a highly rated  food court for 2 people on jul. 4th .,2,,,jul. 4th,highly rated,,,food court,,,,,,
1084,"Locate a bakery in Rockport , Federated States Of Micronesia that serves olives",,,,,,,,bakery,,,olives,Federated States Of Micronesia,,Rockport
1085,"Book a table for my great grandfather and I at a place in Booker , AK .",,,,,,,my great grandfather and I,,,,,AK,,Booker
1086,book a table at Anstruther Fish Bar in FM,,,,,,,,,Anstruther Fish Bar,,,FM,,
1087,Please make a reservation at ten at a bakery which serves burrito .,ten,,,,,,,bakery,,,burrito,,,
1088,Book the Labworth CafÃ© in Ethiopia for six people.,six,,,,,Ethiopia,,,Labworth CafÃ©,,,,,
1089,I have a party of 7 in East Timor,7,,,,,East Timor,,,,,,,,
1090,I need a table for 1 minute from now at any pub for five  around  IN that also serves fisn'n chips .,five,around,,1 minute from now,,,,pub,,,fisn'n chips,IN,,
1091,book a best  tavern for nine,nine,,,,best,,,tavern,,,,,,
1092,me and aisha and craving cordon bleu and need to book a table at a brasserie .,,,,,,,me and aisha,brasserie,,,cordon bleu,,,
1093,evangeline and petra cooper want to go to a restaurant  in 9 years ,,,,in 9 years,,,evangeline and petra cooper,restaurant,,,,,,
1094,Table for one somewhere in Palco,one,,,,,,,,,,,,,Palco
1095,I need to book a restaurant at four o'clock for 4,4,,,four o'clock,,,,restaurant,,,,,,
1096,Lets go to a steakhouse before we go to the pool,,,pool,we,,,,steakhouse,,,,,,
1097,"Book a table for iris, ina and heidi around 9 pm .",,,,9 pm,,,"iris, ina and heidi",,,,,,,
1098,I need a reservation in Pitcairn Islands for any restaurant  joint,,,,,,Pitcairn Islands,,restaurant  joint,,,,,,
1099,Book something for me and my wife at a restaurant  in four weeks,,,,in four weeks,,,me and my wife,restaurant,,,,,,
1100,Need a table in Serbia and Montenegro on Apr. 16 for a party of seven,seven,,,Apr. 16,,Serbia and Montenegro,,,,,,,,
1101,Book a steakhouse with a spa for seven people.,seven,,spa,,,,,steakhouse,,,,,,
1102,I need seats for six at a vegan  bar in London Borough of Enfield or the same distant  in one second,six,same distant,,in one second,,,,bar,,,vegan,,London Borough of Enfield,
1103,Book a table at a diner which serves thousand island dressing in Ivory Coast .,,,,,,Ivory Coast,,diner,,,thousand island dressing,,,
1104,I need a booking for seven people at Metropolitan Museum of Art .,seven,,,,,,,,Metropolitan Museum of Art,,,,,
1105,Book a reservation for four at the best  brasserie in Venezuela,four,,,,best,Venezuela,,brasserie,,,,,,
1106,Book a table for 1 person at a popular  brasserie in Jansen that serves english food,1,,,,popular,,,brasserie,,english,,,,Jansen
1107,I need a reservation for eight for a brasserie that serves spanish rice,eight,,,,,,,brasserie,,,spanish rice,,,
1108,"Book reservations at a restaurant in NE for 4 people on apr. 2, 2021",4,,,"apr. 2, 2021",,,,restaurant,,,,NE,,
1109,book a gratin serving tea house in Bushkill,,,,,,,,tea house,,,gratin,,,Bushkill
1110,Book a restaurant that serves bouchÃ©e for midnight .,,,,midnight,,,,restaurant,,,bouchÃ©e,,,
1111,Book a restaurant for 7 people.,7,,,,,,,restaurant,,,,,,
1112,party of two for a food truck on december 22 that serves chicken french in Bolivia,two,,,december 22,,Bolivia,,food truck,,,chicken french,,,
1113,"book a spot for marlene, jordan and I on oct. the 6th",,,,oct. the 6th,,,"marlene, jordan and I",,,,,,,
1114,book a restaurant that serves trottole in Tillicum,,,,,,,,restaurant,,,trottole,,,Tillicum
1115,I'd like to book the best  restaurant in AS .,,,,,best,,,restaurant,,,,AS,,
1116,book a spot for 10  in the same area of Inwood - 207th St,10,in the same area,,,,,,,,,,,Inwood - 207th St,
1117,"I need to book a restaurant in Burkettsville  in 2 years for rhoda adams, roxanne and I",,,,in 2 years,,,"rhoda adams, roxanne and I",restaurant,,,,,,Burkettsville
1118,Need a table at a fast food restaurant for me and my kids in Brusly Landing,,,,,,,me and my kids,fast food restaurant,,,,,,Brusly Landing
1119,I need a table for nine in Atlas  in 1 second,nine,,,in 1 second,,,,,,,,,,Atlas
1120,Book a restaurant  distant from downtown .,,distant,,,,,,restaurant,,,,,downtown,
1121,I want to bring four people to a place that's close to downtown that serves churrascaria cuisine.,four,close,,,,,,churrascaria,,,,,downtown,
1122,in Delanson  1 hour from now reserve a table for four,four,,,1 hour from now,,,,,,,,,,Delanson
1123,Find me a table at a delicatessen in Urbanette that serves rabbit pie,,,,,,,,delicatessen,,,rabbit pie,,,Urbanette
1124,Book a restaurant in WI at 13:22:34 for 9 people.,9,,,13:22:34,,,,restaurant,,,,WI,,
1125,Please make reservations for three at a kosher  taverna  nearby  our secondary residence ,three,nearby,,,,,,taverna,,kosher,,,our secondary residence,
1126,"Book a restaurant in Indiana for me, violet and dianne .",,,,,,,"me, violet and dianne",restaurant,,,,Indiana,,
1127,book a restaurant  close to Grant Av,,close,,,,,,restaurant,,,,,Grant Av,
1128,Book reservation for 2 people tomorrow in Whitewater,2,,,tomorrow,,,,,,,,,,Whitewater
1129,I need a table for 8 people at a restaurant in District Of Columbia .,8,,,,,,,restaurant,,,,District Of Columbia,,
1130,book a table for ten people,ten,,,,,,,,,,,,,
1131,Book a restaurant for 9 at 00:37 PM,9,,,00:37 PM,,,,restaurant,,,,,,
1132,Book a restaurant in Botswana for seven people.,seven,,,,,Botswana,,restaurant,,,,,,
1133,Book Georgetown Cupcake in Keller for tea time.,,,,tea,,,,,Georgetown Cupcake,,,,,Keller
1134,"Book a restaurant for marcella, erma and leanne rivera .",,,,,,,"marcella, erma and leanne rivera",restaurant,,,,,,
1135,I would like to make a reservation for 2 for brunch .,2,,,brunch,,,,,,,,,,
1136,Book a table for me and my crew scheduled for 10:47:15 pm in IL .,,,,10:47:15 pm,,,me and my crew,,,,,IL,,
1137,I'd like to go to the popular  bistro in OH,,,,,popular,,,bistro,,,,OH,,
1138,Please book a bar type goiano room accommodate for 2 members 1 second from now in PR,2,,,1 second from now,,,,bar,,goiano,,PR,,
1139,I'm looking to get a seat at a brasserie in Togo .,,,,,,Togo,,brasserie,,,,,,
1140,Book me a table at a Tartinery Restaurant  not far from my home in Elk Rapids .,,not far,,,,,,,Tartinery Restaurant,,,,home,Elk Rapids
1141,"book a brasserie at Turtle Creek  neighboring on march sixth, 2038 for eight",eight,neighboring,,"march sixth, 2038",,,,brasserie,,,,,Turtle Creek,
1142,Book a maharashtrian  restaurant please.,,,,,,,,restaurant,,maharashtrian,,,,
1143,Book a table for five in Unalaska  this month .,five,,,this month,,,,,,,,,,Unalaska
1144,"My party of 3 would really like to eat baba au rhum at a brasserie , could you help?",3,,,,,,,brasserie,,,baba au rhum,,,
1145,I want to book a restaurant  now in Ludlow for eight,eight,,,now,,,,restaurant,,,,,,Ludlow
1146,I want to book a pub in MS that serves festoni,,,,,,,,pub,,,festoni,MS,,
1147,book a cafe in Romania,,,,,,Romania,,cafe,,,,,,
1148,I want to take my parents and I to eat some romagna at a brasserie in North Dakota,,,,,,,my parents and I,brasserie,,romagna,,North Dakota,,
1149,"Book a table for 1 , 1 second from now in Adelaide",1,,,1 second from now,,,,,,,,,,Adelaide
1150,in one hundred twenty seven days I'd like to eat at a pizzeria in North Lima,,,,in one hundred twenty seven days,,,,pizzeria,,,,,,North Lima
1151,Book a brasserie in Cuney for seven people.,seven,,,,,,,brasserie,,,,,,Cuney
1152,"Book me a table for seven in Co-operative Block Building , ND .",seven,,,,,,,,Co-operative Block Building,,,ND,,
1153,I'd like to eat surf and turf  in one minute at a bar,,,,in one minute,,,,bar,,,surf and turf,,,
1154,I want to take my mom and I to the tea house,,,,,,,my mom and I,tea house,,,,,,
1155,I want to book a highly rated  pizzeria  in the same area as tia's house,,in the same area,,,highly rated,,,pizzeria,,,,,tia's house,
1156,I need a table at The Middle East in MN for a party of 6,6,,,,,,,,The Middle East,,,MN,,
1157,book me a restaurant at Sint Maarten on sun .,,,,sun,,Sint Maarten,,restaurant,,,,,,
1158,Book a restaurant in Three Points,,,,,,,,restaurant,,,,,,Three Points
1159,I want a table for 2 at a Portugal  restaurant,2,,,,,Portugal,,restaurant,,,,,,
1160,I'd like to eat at an internet  restaurant with a party of four,four,,internet,,,,,restaurant,,,,,,
1161,I would like to book a bistro for 7,7,,,,,,,bistro,,,,,,
1162,I'd like to eat at a restaurant in MD with a party of 8,8,,,,,,,restaurant,,,,MD,,
1163,Find a reservation for 2 at a restaurant for pizza,2,,,,,,,restaurant,,,pizza,,,
1164,I want to book a restaurant in Bosnia and Herzegovina .,,,,,,Bosnia and Herzegovina,,restaurant,,,,,,
1165,Need a booking for a party of five at a restaurant in French Polynesia,five,,,,,French Polynesia,,restaurant,,,,,,
1166,Book reservation at The Big Chill Cafe in AR for 10 people,10,,,,,,,,The Big Chill Cafe,,,AR,,
1167,Make me reservations for a highly rated  restaurant .,,,,,highly rated,,,restaurant,,,,,,
1168,book a restaurant for my baby and I in Delaware,,,,,,,my baby and I,restaurant,,,,Delaware,,
1169,Book a table at the top-rated  taverna in North Korea .,,,,,top-rated,North Korea,,taverna,,,,,,
1170,Book reservations at a restaurant in Jersey for six people next October,six,,,next October,,Jersey,,restaurant,,,,,,
1171,book a cafe table for one that has internet access,one,,internet,,,,,cafe,,,,,,
1172,I'd like to eat at a restaurant  far from Grantsburg,,far,,,,,,restaurant,,,,,,Grantsburg
1173,"Book a table at a tavern in Albania for annette, darlene and barbara james for ten AM",,,,ten AM,,Albania,"annette, darlene and barbara james",tavern,,,,,,
1174,Book a restaurant in Swaziland  in 1 hour .,,,,in 1 hour,,Swaziland,,restaurant,,,,,,
1175,"Book me a reservation for an osteria  campanian on Jun. the 7th, 2022",,,,"Jun. the 7th, 2022",,,,osteria,,campanian,,,,
1176,Book a reservation for me and my step sister in Nebraska  in two seconds,,,,in two seconds,,,me and my step sister,,,,,Nebraska,,
1177,Book the Coon Chicken Inn in Baker City for 4 people.,4,,,,,,,,Coon Chicken Inn,,,,,Baker City
1178,"book a restaurant in French Southern Territories on dec. the fifth, 2026 for two",two,,,"dec. the fifth, 2026",,French Southern Territories,,restaurant,,,,,,
1179,Book me a reservation for 10 in Oman,10,,,,,Oman,,,,,,,,
1180,Book a restaurant for nine in South Sudan .,nine,,,,,South Sudan,,restaurant,,,,,,
1181,Book reservations at a restaurant in Iron Springs,,,,,,,,restaurant,,,,,,Iron Springs
1182,"Please make me reservations somewhere for eight people in Foley , NV",eight,,,,,,,,,,,NV,,Foley
1183,table for 5 AM . at Bakerâs Keyboard Lounge,,,,5 AM,,,,,Bakerâs Keyboard Lounge,,,,,
1184,I want to eat mezes at the pub for 1 at four PM,1,,,four PM,,,,pub,,,mezes,,,
1185,I'm looking for a table of eight at The Alley .,eight,,,,,,,,The Alley,,,,,
1186,I need a table for five in Viroqua,five,,,,,,,,,,,,,Viroqua
1187,Book a russian  restaurant for 4 people.,4,,,,,,,restaurant,,russian,,,,
1188,Book a bakery that serves souvlaki for tomorrow .,,,,tomorrow,,,,bakery,,,souvlaki,,,
1189,Find me a table at a javanese  brasserie,,,,,,,,brasserie,,javanese,,,,
1190,We want to eat at a brasserie with sicilian food in Nebraska,,,,,,,,brasserie,,sicilian,,Nebraska,,
1191,book a table for now for 4 for an oyster bar,4,,,now,,,,oyster bar,,,,,,
1192,I need a table for 2 on feb. 18 at Main Deli Steak House,2,,,feb. 18,,,,,Main Deli Steak House,,,,,
1193,I'd like to get 4 seats at a restaurant .,4,,,,,,,restaurant,,,,,,
1194,Asiate  restaurant in Sturgeon for 7,7,,,,,,,restaurant,Asiate,,,,,Sturgeon
1195,restaurant in Zambia that is close for a party of 10,10,close,,,,Zambia,,restaurant,,,,,,
1196, restaurant that is brasserie for 8 and has wifi,8,,wifi,,,,,brasserie,,,,,,
1197,I want eat at the best  spanish  restaurant in the Georgia  area that is within walking distance for me and my nephew at noon,,within walking distance,,noon,best,,me and my nephew,restaurant,,spanish,,Georgia,,
1198,book rosalie stewart and evelyn at a restaurant,,,,,,,rosalie stewart and evelyn,restaurant,,,,,,
1199,book a table for 0 pm in Fayette for rachael morris and shannon  near there,,near,,0 pm,,,rachael morris and shannon,,,,,,,Fayette
1200,I need a table for one,one,,,,,,,,,,,,,
1201,"book a spot for nona gray, myrtle and alison at a top-rated  brasserie that is distant from Wilson Av on Nov. the 4th, 2030 that serves ouzeri",,distant,,"Nov. the 4th, 2030",top-rated,,"nona gray, myrtle and alison",brasserie,,ouzeri,,,Wilson Av,
1202,Book the Ballylickey House for 7/16/2027 .,,,,7/16/2027,,,,,Ballylickey House,,,,,
1203,book an outdoor place for 11/1/2033  in town  within walking distance of a brasserie for nine,nine,within walking distance,outdoor,11/1/2033,,,,brasserie,,,,,in town,
1204,I need a reservation for a restaurant that serves cupcakes in OH,,,,,,,,restaurant,,,cupcakes,OH,,
1205,I'd like a table for 3 at a tavern in the Vatican,3,,,,,Vatican,,tavern,,,,,,
1206,I want a table for 5  next fall om Curacao,5,,,next fall,,Curacao,,,,,,,,
1207,book a table at a restaurant for 10/24/2028 for me and lauren,,,,10/24/2028,,,me and lauren,restaurant,,,,,,
1208,need a table at Uncommon Grounds Coffeehouse at eleven for nine,nine,,,eleven,,,,,Uncommon Grounds Coffeehouse,,,,,
1209,I need a reservation for The French Laundry in OH for six,six,,,,,,,,The French Laundry,,,OH,,
1210,I'd like a table for two at a brasserie in SÃ£o TomÃ© and PrÃ­ncipe,two,,,,,SÃ£o TomÃ© and PrÃ­ncipe,,brasserie,,,,,,
1211,Reservea  table for five people on september second in Gabon .,five,,,september second,,Gabon,,,,,,,,
1212,Book reservations at a nearby  restaurant in Montenegro for four people,four,nearby,,,,Montenegro,,restaurant,,,,,,
1213,Book me a reservation for The Brazen Head in Hecker,,,,,,,,,The Brazen Head,,,,,Hecker
1214,book a molecular gastronomy serving restaurant on march the 20th,,,,march the 20th,,,,restaurant,,,molecular gastronomy,,,
1215,Book a spot for seven at a japanese  joint in Grandview Heights,seven,,,,,,,joint,,japanese,,,,Grandview Heights
1216,Book me a tibetan  restaurant for my boss and I .,,,,,,,my boss and I,restaurant,,tibetan,,,,
1217,book a bar  close by with a smoking room in MA,,close by,smoking room,,,,,bar,,,,MA,,
1218,Can you make reservations for 1 person in IL,1,,,,,,,,,,,IL,,
1219,Book the Dunbrody Country House Hotel in NE for 8 people.,8,,,,,,,,Dunbrody Country House Hotel,,,NE,,
1220,Find a table for one at a popular  churrascaria for three weeks from now,one,,,three weeks from now,popular,,,churrascaria,,,,,,
1221,"Make me a reservation at Illinois Central Railroad Freight Depot in Singapore with vickie rodriguez, lila reyes and ruby",,,,,,Singapore,"vickie rodriguez, lila reyes and ruby",,Illinois Central Railroad Freight Depot,,,,,
1222,"I'd like a table for natasha, bettye and kimberley at a coffeehouse with a smoking room",,,smoking room,,,,"natasha, bettye and kimberley",coffeehouse,,,,,,
1223,"book tortano serving brasserie for me, isabella and carly in Kuwait",,,,,,Kuwait,"me, isabella and carly",brasserie,,,tortano,,,
1224,Book me a table for 2  in 6 years at a restaurant that serves potÃ©e,2,,,in 6 years,,,,restaurant,,,potÃ©e,,,
1225,Make a reservation far away at The Spotted Pig in SD .,,far,,,,,,,The Spotted Pig,,,SD,,
1226,I want to go to an outdoor  cafe in Pioneer Day,,,outdoor,Pioneer Day,,,,cafe,,,,,,
1227,I want to book a table for me and my boss at Glassy Junction in Turkey .,,,,,,Turkey,me and my boss,,Glassy Junction,,,,,
1228,I need to book a pub in Cammack Village  Wyoming for a party of seven,seven,,,,,,,pub,,,,Wyoming,,Cammack Village
1229,"Book something for darlene, tessa and maxine at a restaurant for 09:58:27",,,,09:58:27,,,"darlene, tessa and maxine",restaurant,,,,,,
1230,Make me a reservation at taverna in a smoking room,,,smoking room,,,,,taverna,,,,,,
1231,casey and I will be in Kentucky for food,,,,,,,casey and I,,,,,Kentucky,,
1232,book a spot for 1 at a bakery with crab cake  not far from New Jersey,1,not far,,,,,,bakery,,,crab cake,New Jersey,,
1233,Book a table for 7 at a popular  bistro  distant from Kremmling,7,distant,,,popular,,,bistro,,,,,,Kremmling
1234,Book a table for 5 at a pub during my Macedonia trip that serves czech food.,5,,,,,Macedonia,,pub,,czech,,,,
1235,Book me seating at a popular  joint for Sep. the 10th,,,,Sep. the 10th,popular,,,joint,,,,,,
1236,I'd like a table for six at the bakery in AS,six,,,,,,,bakery,,,,AS,,
1237,Book a restaurant  in town  not far from here for me and my mother in law .,,not far,,,,,me and my mother in law,restaurant,,,,,in town,
1238,I need reservations for a party of 8  within the same area at 01:48:35 at a restaurant in Armenia that serves tuscan cuisine.,8,within the same area,,01:48:35,,Armenia,,restaurant,,tuscan,,,,
1239,book some indonesian  food truck food that is not far for a party of 8 in IA,8,not far,,,,,,food truck,,indonesian,,IA,,
1240,"Make a reservation at a diner which serves chowder in MT for august the 17th, 2024 .",,,,"august the 17th, 2024",,,,diner,,,chowder,MT,,
1241,"I need a table at Light Horse Tavern in City of the Dalles  NH for kathleen, brianna and I",,,,,,,"kathleen, brianna and I",,Light Horse Tavern,,,NH,,City of the Dalles
1242,I need seats for five at a place five and a half months from now,five,,,five and a half months from now,,,,,,,,,,
1243,Book a pub for eight people in the Pitcairn Islands .,eight,,,,,Pitcairn Islands,,pub,,,,,,
1244,I need a table for a party of 2 at Co-operative Block Building in Old Glory,2,,,,,,,,Co-operative Block Building,,,,,Old Glory
1245,I want Jean-Georges for a party of 2,2,,,,,,,,Jean-Georges,,,,,
1246,Reserve me seating midday at Bear Hotel,,,,midday,,,,,Bear Hotel,,,,,
1247,Book a restaurant  near the City of Wakefield for 5 people.,5,near,,,,,,restaurant,,,,,City of Wakefield,
1248,Book a table for two in Oklahoma,two,,,,,,,,,,,Oklahoma,,
1249,book me a restaurant in Guadeloupe,,,,,,Guadeloupe,,restaurant,,,,,,
1250,Find me a table for 8 people at a nearby  AL  restaurant  one minute from now .,8,nearby,,one minute from now,,,,restaurant,,,,AL,,
1251,"book in West Palm Beach for glenda, lois and tamra at a nearby  restaurant serving puglia",,nearby,,,,,"glenda, lois and tamra",restaurant,,puglia,,,,West Palm Beach
1252,I need a table at a restaurant in Ireland serving kouglof,,,,,,Ireland,,restaurant,,,kouglof,,,
1253,"Find me a bar in Eagle Pass , Vermont that serves noodle dishes, that will take reservations for 2/21/2021 .",,,,2/21/2021,,,,bar,,,noodle,Vermont,,Eagle Pass
1254,"Book a table for ida, monica and etta at Cold Spring Tavern in MD",,,,,,,"ida, monica and etta",,Cold Spring Tavern,,,MD,,
1255,Book reservations at a highly rated  bar on 11/23/2031,,,,11/23/2031,highly rated,,,bar,,,,,,
1256,book a stuffed ham serving pizzeria in Independence Corner,,,,,,,,pizzeria,,,stuffed ham,,,Independence Corner
1257,book a brasserie with parking for 1,1,,parking,,,,,brasserie,,,,,,
1258,I want to book a table at a nearby  restaurant in Andorra for me and my kids .,,nearby,,,,Andorra,me and my kids,restaurant,,,,,,
1259,I really need a top-rated  restaurant that can seat 3 people in 1 minute from now.,3,,,in 1 minute,top-rated,,,restaurant,,,,,,
1260,Book a churrascaria restaurant that serves spring rolls for one person.,one,,,,,,,churrascaria restaurant,,,spring rolls,,,
1261,Book reservations at a restaurant for me and my ex husband in West Virginia,,,,,,,me and my ex husband,restaurant,,,,West Virginia,,
1262,Make me a reservation for a party of 2,2,,,,,,,,,,,,,
1263,book a diner for 1 in Green Isle,1,,,,,,,diner,,,,,,Green Isle
1264,book fast food that is highly rated,,,,,highly rated,,,fast food,,,,,,
1265,me and katharine would like to go eat at Jan. 22nd in IA,,,,Jan. 22nd,,,me and katharine,,,,,IA,,
1266,book Main Deli Steak House on february 13 in Serbia and Montenegro,,,,february 13,,Serbia and Montenegro,,,Main Deli Steak House,,,,,
1267,I want tables for 6 at a kosher  steakhouse  around  Kosovo,6,around,,,,Kosovo,,steakhouse,,kosher,,,,
1268,I need to book a restaurant that serves sundanese in Bonaire for 7,7,,,,,Bonaire,,restaurant,,sundanese,,,,
1269,Book a taverna that serves bengali for six at five,six,,,five,,,,taverna,,bengali,,,,
1270,I'm looking to book a table at a gastropub that serves vegetarian for me and my team,,,,,,,me and my team,gastropub,,vegetarian,,,,
1271,Please book me a table at a food court  faraway from Saint Kitts and Nevis .,,faraway,,,,Saint Kitts and Nevis,,food court,,,,,,
1272,I want to book a table at The Commons Restaurant in South Pekin  New Hampshire for a party of 10 on january the 24th,10,,,january the 24th,,,,,The Commons Restaurant,,,New Hampshire,,South Pekin
1273,Book a restaurant in Bouchon for 1,1,,,,,,,restaurant,Bouchon,,,,,
1274,book a restaurant for 5,5,,,,,,,restaurant,,,,,,
1275,book a spot at a crab  restaurant,,,,,,,,restaurant,,,crab,,,
1276,Book a reservation at a restaurant  nearby  their airbnb,,nearby,,,,,,restaurant,,,,,their airbnb,
1277,Book a reservation for Louisiana Fried Chicken  this winter in Taiwan,,,,this winter,,Taiwan,,,Louisiana Fried Chicken,,,,,
1278,book a restaurant in HI,,,,,,,,restaurant,,,,HI,,
1279,I want to book a bar in Bonaparte  Palau .,,,,,,,,bar,,,,Palau,,Bonaparte
1280,Can you make reservations at a tea house that serves fettucine ?,,,,,,,,tea house,,,fettucine,,,
1281,I want to book Meriton Grand Hotel Tallinn in New Jersey for four people.,four,,,,,,,,Meriton Grand Hotel Tallinn,,,New Jersey,,
1282,I want a table for eight in Yakima  Rhode Island,eight,,,,,,,,,,,Rhode Island,,Yakima
1283,Book a reservation for a restaurant serving wontons for ten people in Leopold,ten,,,,,,,restaurant,,,wontons,,,Leopold
1284,book at Tavern on the Green for in 1 minute in CO,,,,in 1 minute,,,,,Tavern on the Green,,,CO,,
1285,Book a reservation for a party of four  within the same area of Districts of Sweden,four,within the same area,,,,,,,,,,,Districts of Sweden,
1286,I need to reserve a table for me and my mom at the nearest restaurant in the state of MH .,,,,,,,me and my mom,restaurant,,,,MH,,
1287,set an reservation for a party of eight at the bar on 8/8/2039,eight,,,8/8/2039,,,,bar,,,,,,
1288,Book me a table for two in Oakes .,two,,,,,,,,,,,,,Oakes
1289,I need to book a table for 6 people at Montreal Pool Room in Croatia .,6,,,,,Croatia,,,Montreal Pool Room,,,,,
1290,"Reserve a table in Top of the Mark  Lambertville , Vermont .",,,,,,,,,Top of the Mark,,,Vermont,,Lambertville
1291,"I'm going to Herkimer and want some liver and onions and I need a table for bessie, antonia and lisa at a cafe around 10 AM",,,,10 AM,,,"bessie, antonia and lisa",cafe,,,liver and onions,,,Herkimer
1292,book a restaurant for november 19,,,,november 19,,,,restaurant,,,,,,
1293,Reserve a table at a restaurant with wifi in France,,,wifi,,,France,,restaurant,,,,,,
1294,Can you make reservations for two people somewhere distant from Sutphin Blvd,two,distant,,,,,,,,,,,Sutphin Blvd,
1295,"I need a table at somewhere within walking distance of NV on november the 24th, 2027",,within walking distance,,"november the 24th, 2027",,,,,,,,NV,,
1296,I need to book a tropÃ©zienne  restaurant  six hours from now,,,,six hours from now,,,,restaurant,,,tropÃ©zienne,,,
1297,I need a table in your position at churrascaria for a hot dog  in the same area,,in the same area,,,,,,churrascaria,,,hot dog,,your position,
1298,Book a table at Crown Candy Kitchen for lacy and I,,,,,,,lacy and I,,Crown Candy Kitchen,,,,,
1299,Book at table at a brasserie which serves padangnese food.,,,,,,,,brasserie,,padangnese,,,,
1300,I need to book a table for five at the Crooked House of Windsor .,five,,,,,,,,Crooked House of Windsor,,,,,
1301,make a reservation for 9 at a brasserie with parking,9,,parking,,,,,brasserie,,,,,,
1302,book a table today at a steakhouse for eight that serves sashimi,eight,,,today,,,,steakhouse,,,sashimi,,,
1303,I need a table at a cafe that serves baeckeoffe,,,,,,,,cafe,,,baeckeoffe,,,
1304,"Book a reservation for 1 at PM Park, Clear Lake, Iowa in Mongolia  in 1 hour",1,,,in 1 hour,,Mongolia,,,"PM Park, Clear Lake, Iowa",,,,,
1305,Book a restaurant in CA for my parents and I on oct. the seventeenth,,,,oct. the seventeenth,,,my parents and I,restaurant,,,,CA,,
1306,Book a table for a party of twelve in Lewisville  AMerican Samoa for a party of 7 at the Ballachulish House,7,,,twelve,,,,,Ballachulish House,,,AMerican Samoa,,Lewisville
1307,I need a table in Iron Gates  in one minute at the Weathervane Restaurant,,,,in one minute,,,,,Weathervane Restaurant,,,,,Iron Gates
1308,I need a table booking for a highly rated  sardinian  pub .,,,,,highly rated,,,pub,,sardinian,,,,
1309,Book a restaurant in seven in Fort McKinley,seven,,,,,,,restaurant,,,,,,Fort McKinley
1310,Book a table for three at a restaurant in Louisiana,three,,,,,,,restaurant,,,,Louisiana,,
1311,I'd like a table for 3 at an outdoor  restaurant,3,,outdoor,,,,,restaurant,,,,,,
1312,Book a popular  restaurant for two which is distant from Avalon .,two,distant,,,popular,,,restaurant,,,,,Avalon,
1313,"book Guenther House for 6 on Oct. 24, 2035 in Waddy",6,,,"Oct. 24, 2035",,,,,Guenther House,,,,,Waddy
1314,Find a table for 2 at a restaurant in Saint Vincent and the Grenadines,2,,,,,Saint Vincent and the Grenadines,,restaurant,,,,,,
1315,book cornelia and bettie a table at a brasserie restaurant in Colombia,,,,,,Colombia,cornelia and bettie,brasserie restaurant,,,,,,
1316,book a spot for my colleague and I at a pizzeria with a pool in Owings Mills  Wisconsin,,,pool,,,,my colleague and I,pizzeria,,,,Wisconsin,,Owings Mills
1317,I'd like to eat english cuisine at a restaurant in Ettrick,,,,,,,,restaurant,,english,,,,Ettrick
1318,reserve a table for two at the restaurant at 9 pm,two,,,9 pm,,,,restaurant,,,,,,
