,text,spatial_relation,timeRange,movie_name,object_type,object_location_type,movie_type,location_name
1026,I need to know what theatre is playing A Happy Coersion,,,A Happy Coersion,,theatre,,
1027,Find the schedule for films  around here .,around here,,,schedule,,films,
1028,I need the movie Kids in Love at the movie house,,,Kids in Love,,movie house,,
1029,what movies are at the nearest  movie house,nearest,,,,movie house,movies,
1030,What time is Wild and Wooly playing,,,Wild and Wooly,,,,
1031,Find movie schedules .,,,,movie schedules,,,
1032,What time is My Son Shall Be Armenian playing at Plitt Theatres,,,My Son Shall Be Armenian,,,,Plitt Theatres
1033,show the movie schedules at United Paramount Theatres,,,,movie schedules,,,United Paramount Theatres
1034,find close by  movie schedule  movies,close by,,,movie schedule,,movies,
1035,Find me showtimes for How I Unleashed World War II .,,,How I Unleashed World War II,,,,
1036,What films are showing at Cineplex Odeon Corporation ?,,,,,,films,Cineplex Odeon Corporation
1037,what are the movie schedules ?,,,,movie schedules,,,
1038,Where is the closest  cinema playing Osmanthus Alley,closest,,Osmanthus Alley,,cinema,,
1039,What are the movie times for the movies  in the neighbourhood,in the neighbourhood,,,movie times,,movies,
1040,Does The Yacoubian Building start at 08:39 pm,,08:39 pm,The Yacoubian Building,,,,
1041,When's Fools for Luck showing?,,,Fools for Luck,,,,
1042,What time is Just Around the Corner playing,,,Just Around the Corner,,,,
1043,what animated movies are at the nearest  movie house,nearest,,,,movie house,animated movies,
1044,Please tell me what the movie schedule looks like for the AMC Theatres  in twenty one hours,,in twenty one hours,,movie schedule,,,AMC Theatres
1045,What is the local movie schedule,,,,movie schedule,,,
1046,Is the Wandering Detective: Black Wind in the Harbor playing at Cinemark Theatres,,,Wandering Detective: Black Wind in the Harbor,,,,Cinemark Theatres
1047,Please tell me the movie schedules,,,,movie schedules,,,
1048,I want to go see The Trouble with Girls,,,The Trouble with Girls,,,,
1049,Where is Boo to You Too! Winnie the Pooh playing,,,Boo to You Too! Winnie the Pooh,,,,
1050,Is The Suicide Shop playing at Southern Theatres,,,The Suicide Shop,,,,Southern Theatres
1051,What movies are showing at the nearest  movie house ?,nearest,,,,movie house,movies,
1052,What animated movies are showing in the area ?,in the area,,,,,animated movies,
1053,What are the movie schedules for Santikos Theatres ?,,,,movie schedules,,,Santikos Theatres
1054,what films are at Cinemark Theatres,,,,,,films,Cinemark Theatres
1055,What are the movie schedules,,,,movie schedules,,,
1056,Find a movie schedule .,,,,movie schedule,,,
1057,I want to see the local movie times,,,,movie times,,,
1058,when does Miss Sloane play at IMAX Corporation ,,,Miss Sloane,,,,IMAX Corporation
1059,find a movie theatre showing The Tailor of Panama,,,The Tailor of Panama,,movie theatre,,
1060,I'd like a movie schedule for a close by  movies,close by,,,movie schedule,,movies,
1061,what animated movies are playing at Fox Theatres,,,,,,animated movies,Fox Theatres
1062,find a movie house  closest showing Operation: Kingdom,closest,,Operation: Kingdom,,movie house,,
1063,What films are playing at 1 PM at Showcase Cinemas,,1 PM,,,,films,Showcase Cinemas
1064,"Where can I watch Portrait of a Woman, Nude  in 1 hour ?",,in 1 hour,"Portrait of a Woman, Nude",,,,
1065,I want the film for nearest  movie theatre,nearest,,,,movie theatre,film,
1066,I'd like to watch Health Warning at the closest  movie house,closest,,Health Warning,,movie house,,
1067,Is The Butcher Boy playing anywhere at supper time?,,supper,The Butcher Boy,,,,
1068,Which animated movies are playing at Fox Theatres ?,,,,,,animated movies,Fox Theatres
1069,I'd like to watch Heartbreak at Pacific Theatres at two pm,,two pm,Heartbreak,,,,Pacific Theatres
1070,Find the movie schedule .,,,,movie schedule,,,
1071,in the neighbourhood find movies,in the neighbourhood,,,,,movies,
1072,what time is The Bodyguard at Malco Theatres playing,,,The Bodyguard,,,,Malco Theatres
1073,find Mary Kom starting in one hour ,,in one hour,Mary Kom,,,,
1074,Find the movie schedule .,,,,movie schedule,,,
1075,Find the closest  movie house that plays animated movies,closest,,,,movie house,animated movies,
1076,Is Storm Warning playing,,,Storm Warning,,,,
1077,What are the movie times at Landmark Theatres,,,,movie times,,,Landmark Theatres
1078,is These Girls at the cinema,,,These Girls,,cinema,,
1079,What time is Unholy Women playing?,,,Unholy Women,,,,
1080,Find the movie schedule at twelve AM .,,twelve AM,,movie schedule,,,
1081,Is Hercules and Xena: The Battle for Mount Olympus playing at the closest  cinema,closest,,Hercules and Xena: The Battle for Mount Olympus,,cinema,,
1082,find Brandy in the Wilderness,,,Brandy in the Wilderness,,,,
1083,what is the movie schedule for Cineplex Odeon Corporation,,,,movie schedule,,,Cineplex Odeon Corporation
1084,List movies at IMAX Corporation,,,,,,movies,IMAX Corporation
1085,Where can I see Travelling Light ?,,,Travelling Light,,,,
1086,When can I see The Crew of the Dora,,,The Crew of the Dora,,,,
1087,Find me the movie times for the Marcus Corporation,,,,movie times,,,Marcus Corporation
1088,What time is The Bride Wore Boots playing,,,The Bride Wore Boots,,,,
1089,What time is Cabin Fever: Spring Fever playing,,,Cabin Fever: Spring Fever,,,,
1090,can i get the showtimes for films  in the neighbourhood,in the neighbourhood,,,,,films,
1091,Which movie theatre  nearest me is showing animated movies starting now ?,nearest,now,,,movie theatre,animated movies,
1092,can i have the movie schedule for right now,,now,,movie schedule,,,
1093,What is the movie schedules at for Douglas Theatre Company at 0 p.m. ?,,0 p.m.,,movie schedules,,,Douglas Theatre Company
1094,Can i get the showtimes for films  in the area .,in the area,,,,,films,
1095,Find me the movie times,,,,movie times,,,
1096,Is Brother at United Paramount Theatres,,,Brother,,,,United Paramount Theatres
1097,List movie schedules,,,,movie schedules,,,
1098,Give me the movie listings at the closest  cinema please.,closest,,,,cinema,movie,
1099,find the nearest  movie house for The Mystery of Picasso,nearest,,The Mystery of Picasso,,movie house,,
1100,I would like to see a schedule for movies at the nearest  movie house .,nearest,,,schedule,movie house,movies,
1101,I want to see King of the River in the nearest  movie theatre,nearest,,King of the River,,movie theatre,,
1102,Are there movies at Malco Theatres,,,,,,movies,Malco Theatres
1103,find Warren Theatres  films,,,,,,films,Warren Theatres
1104,find me the nearest  movie theatre that's showing The Spell of the Yukon,nearest,,The Spell of the Yukon,,movie theatre,,
1105,Find the schedule for Chronicle of My Mother at the nearest  cinema  in 1 minute and 8 seconds .,nearest,in 1 minute and 8 seconds,Chronicle of My Mother,schedule,cinema,,
1106,What time is The Ladies Diplomat playing?,,,The Ladies Diplomat,,,,
1107,Is The Mystery of Betty Bonn playing at twelve A.M. at the nearest  movie house ?,nearest,twelve A.M.,The Mystery of Betty Bonn,,movie house,,
1108,find The Panic in Needle Park,,,The Panic in Needle Park,,,,
1109,Show me movie schedule,,,,movie schedule,,,
1110,Show me movie times for two a.m. at any nearby  movies .,nearby,two a.m.,,movie times,,movies,
1111,What movies are playing at Warren Theatres ?,,,,,,movies,Warren Theatres
1112,what animated movies are showing in the neighborhood ,in the neighborhood,,,,,animated movies,
1113,Find the movie schedules for Great Escape Theatres .,,,,movie schedules,,,Great Escape Theatres
1114,When is the next showing of Star Wars: The Clone Wars ?,,,Star Wars: The Clone Wars,,,,
1115,What is the movie times at Marcus Corporation,,,,movie times,,,Marcus Corporation
1116,Need to see Mother Joan of the Angels  in one second .,,in one second,Mother Joan of the Angels,,,,
1117,What animated movies are playing nearby right now ?,nearby,now,,,,animated movies,
1118,is The Clowns at the nearest  cinema ,nearest,,The Clowns,,cinema,,
1119,What films are scheduled at the closest  cinema ?,closest,,,,cinema,films,
1120,Is Tomorrow at Seven being played at Douglas Theatre Company ?,,,Tomorrow at Seven,,,,Douglas Theatre Company
1121,What are the movie schedules at the IMAX Corporation,,,,movie schedules,,,IMAX Corporation
1122,find a cinema for The Tenderfoot  nearest me,nearest,,The Tenderfoot,,cinema,,
1123,Show the movie schedule at Regal Entertainment Group,,,,movie schedule,,,Regal Entertainment Group
1124,Give me the movie schedules for National Amusements .,,,,movie schedules,,,National Amusements
1125,What movies are at Malco Theatres,,,,,,movies,Malco Theatres
1126,Show a movie schedule with Bow Tie Cinemas,,,,movie schedule,,,Bow Tie Cinemas
1127,What time is The Riders of the Whistling Skull playing at Magic Johnson Theatres,,,The Riders of the Whistling Skull,,,,Magic Johnson Theatres
1128,Where can I find the movie schedule ?,,,,movie schedule,,,
1129,Is Arthur 2 – On the Rocks playing at 20:44 ?,,20:44,Arthur 2 – On the Rocks,,,,
1130,What movies are playing at Dipson Theatres ,,,,,,movies,Dipson Theatres
1131,Find the movie schedule .,,,,movie schedule,,,
1132,Show movie schedule at Amco Entertainment,,,,movie schedule,,,Amco Entertainment
1133,Where is the closest  cinema playing Good Night Good Morning,closest,,Good Night Good Morning,,cinema,,
1134,When is Girls Just Want to Have Fun playing at the movie house ?,,,Girls Just Want to Have Fun,,movie house,,
1135,What animated movies are playing at Dipson Theatres ?,,,,,,animated movies,Dipson Theatres
1136,Find the schedule for The Cup Winner at the closest  movie house .,closest,,The Cup Winner,schedule,movie house,,
1137,What are the movie schedule for the movies  in the neighborhood,in the neighborhood,,,movie schedule,,movies,
1138,What movie schedules at Consolidated Theatres,,,,movie schedules,,,Consolidated Theatres
1139,What movies are scheduled at Plitt Theatres ?,,,,,,movies,Plitt Theatres
1140,What animated movies are at the closest  movie theatre,closest,,,,movie theatre,animated movies,
1141,find a Loews Cineplex with films,,,,,,films,Loews Cineplex
1142,What time is Rites of Spring playing at Marcus Corporation,,,Rites of Spring,,,,Marcus Corporation
1143,List all the movies playing in the area  now .,in the area,now,,,,movies,
1144,Showtimes for the films at Santikos Theatres,,,,,,films,Santikos Theatres
1145,Find the schedule for Vanishing of the Bees at a movie house .,,,Vanishing of the Bees,schedule,movie house,,
1146,show me the schedule of movie Warning from Space  closest to movie house,closest,,Warning from Space,schedule,movie house,,
1147,Show me the movie schedules for movies playing nearby .,nearby,,,movie schedules,,movies,
1148,Please tell me the movie schedules ,,,,movie schedules,,,
1149,What movies are playing Dickinson Theatres,,,,,,movies,Dickinson Theatres
1150,give me the Morning  movie schedules,,Morning,,movie schedules,,,
1151,When is The Great Question playing at the closest  movie house ?,closest,,The Great Question,,movie house,,
1152,where can I watch Mabel’s Dramatic Career at twenty two o'clock,,twenty two o'clock,Mabel’s Dramatic Career,,,,
1153,What movies are playing at the nearest  movie house,nearest,,,,movie house,movies,
1154,in one hour find King of Hearts,,in one hour,King of Hearts,,,,
1155,in the neighbourhood find a movie schedule for animated movies,in the neighbourhood,,,movie schedule,,animated movies,
1156,When is The Stain playing at Loews Cineplex ?,,,The Stain,,,,Loews Cineplex
1157,Is The Angel of Vengeance – The Female Hamlet playing at the cinema at 6 am,,6 am,The Angel of Vengeance – The Female Hamlet,,cinema,,
1158,What time do the movies play at Southern Theatres ?,,,,,,movies,Southern Theatres
1159,Where does The Return of the Whistler play at the Bow Tie Cinemas at 03:01:48 A.M.,,03:01:48 A.M.,The Return of the Whistler,,,,Bow Tie Cinemas
1160,Is Goodbye Mr. Chips showing twelve minutes from now,,twelve minutes from now,Goodbye Mr. Chips,,,,
1161,I'd like to watch The Wedding Ring at the movie theatre,,,The Wedding Ring,,movie theatre,,
1162,What theater is showing From Paris with Love and when?,,,From Paris with Love,,,,
1163,list movie times with meal,,meal,,movie times,,,
1164,Is The Lady and the Highwayman playing at 7 A.M. at Dipson Theatres ?,,7 A.M.,The Lady and the Highwayman,,,,Dipson Theatres
1165,When will Hard Time Romance be showing at the cinema ?,,,Hard Time Romance,,cinema,,
1166,Is A Man Called Hero playing during brunch at the cinema,,brunch,A Man Called Hero,,cinema,,
1167,Can I go see Cash and Curry at a movie theatre ?,,,Cash and Curry,,movie theatre,,
1168,What animated movies are at Dipson Theatres,,,,,,animated movies,Dipson Theatres
1169,show me the schedule of movie times in Dipson Theatres,,,,movie times,,,Dipson Theatres
1170,I'm wondering if you can give me the movie times for films  in the neighborhood .,in the neighborhood,,,movie times,,films,
1171,FInd the movie times for films  in the neighbourhood .,in the neighbourhood,,,movie times,,films,
1172,is Tomorrow at Dawn at Harkins Theatres,,,Tomorrow at Dawn,,,,Harkins Theatres
1173,Find the movie schedule for ArcLight Hollywood .,,,,movie schedule,,,ArcLight Hollywood
1174,Show me the movie schedule ,,,,movie schedule,,,
1175,where is The Incite Mill playing,,,The Incite Mill,,,,
1176,Find the movie schedule for films  in the area .,in the area,,,movie schedule,,films,
1177,show me movie times,,,,movie times,,,
1178,What is the closest  movie house playing House of the Dead 2,closest,,House of the Dead 2,,movie house,,
1179,Where is the nearest  cinema that is playing Pioneers of the West,nearest,,Pioneers of the West,,cinema,,
1180,What time is Socrates playing at the cinema ?,,,Socrates,,cinema,,
1181,Show me the movie times for what's playing now,,now,,movie times,,,
1182,are there any movies playing around here,around here,,,,,movies,
1183,Where can I watch Hank Williams: The Show He Never Gave ?,,,Hank Williams: The Show He Never Gave,,,,
1184,Showtimes for Butterfly on a Wheel .,,,Butterfly on a Wheel,,,,
1185,What movies are playing at the closest  cinema,closest,,,,cinema,movies,
1186,What time is 30 Days of Night playing?,,,30 Days of Night,,,,
1187,Fine movie times for animated movies  in the neighborhood .,in the neighborhood,,,movie times,,animated movies,
1188,Show me schedules to see A Film with Me in It .,,,A Film with Me in It,schedules,,,
1189,movie schedule for animated movies  in the neighborhood,in the neighborhood,,,movie schedule,,animated movies,
1190,Is A Charming Man playing at lunch time?,,lunch,A Charming Man,,,,
1191,Can you give me the movie schedules for films  close by ?,close by,,,movie schedules,,films,
1192,What times is the 7 Faces of Dr. Lao showing at United Paramount Theatres,,,7 Faces of Dr. Lao,times,,,United Paramount Theatres
1193,is Las aventuras de Zachary Beaver at Harkins Theatres,,,Las aventuras de Zachary Beaver,,,,Harkins Theatres
1194,show me the schedule of Dead Snow,,,Dead Snow,schedule,,,
1195,Find the schedule for movies at Plitt Theatres .,,,,schedule,,movies,Plitt Theatres
1196,Give me showtimes for The Tenth Woman at the movie house .,,,The Tenth Woman,,movie house,,
1197,What is the movie schedule,,,,movie schedule,,,
1198,show me movie schedules,,,,movie schedules,,,
1199,Is Unsettled Land playing at the movie theatre,,,Unsettled Land,,movie theatre,,
1200,Show me when Scandalous John is playing.,,,Scandalous John,,,,
1201,Is The Matinee Idol  06:30  cinema sold out?,,06:30,The Matinee Idol,,cinema,,
1202,where is The Yellow Star: The Persecution of the Jews in Europe 1933-45 playing,,,The Yellow Star: The Persecution of the Jews in Europe 1933-45,,,,
1203,show animated movies in nearest  movie theatre,nearest,,,,movie theatre,animated movies,
1204,what time can i see Girls to Marry ,,,Girls to Marry,,,,
1205,I'd like to see the current showtimes for His Kind of Woman,,,His Kind of Woman,,,,
1206,What is the nearest  movie theatre playing Stray Cat Rock: Wild Jumbo  in 7 seconds,nearest,in 7 seconds,Stray Cat Rock: Wild Jumbo,,movie theatre,,
1207,What animated movies are playing in the neighbourhood and when?,in the neighbourhood,,,,,animated movies,
1208,Give me a list of films at AMC Theatres,,,,,,films,AMC Theatres
1209,find Un weekend da bamboccioni,,,Un weekend da bamboccioni,,,,
1210,Can I get the movie schedules for Marcus Corporation .,,,,movie schedules,,,Marcus Corporation
1211,What are the Mann Theatres showtimes for Secret Sunshine,,,Secret Sunshine,,,,Mann Theatres
1212,What are the timings for Starship Troopers 2 ?,,,Starship Troopers 2,,,,
1213,What movies are playing at Regal Entertainment Group,,,,,,movies,Regal Entertainment Group
1214,what time is The Clutching Hand playing at Amco Entertainment,,,The Clutching Hand,,,,Amco Entertainment
1215,Can i get the movie schedule for films  nearby .,nearby,,,movie schedule,,films,
1216,Where is All Night Long 3 playing 1 hour from now,,1 hour from now,All Night Long 3,,,,
1217,show movie times  now,,now,,movie times,,,
1218,Find time for movie times  now,,now,,movie times,,,
1219,What time will the closest  movie house be playing Mark Shoots First,closest,,Mark Shoots First,,movie house,,
1220,list animated movies at the nearest  cinema,nearest,,,,cinema,animated movies,
1221,I'd like to watch All on the Red at 9 o'clock,,9 o'clock,All on the Red,,,,
1222,find the movie schedules,,,,movie schedules,,,
1223,Can I get the movie schedules for Southern Theatres at around 15:02,,15:02,,movie schedules,,,Southern Theatres
1224,Can I get the movie times for in the neighbourhood  movies,in the neighbourhood,,,times,,movies,
1225,what films are playing at KB Theatres,,,,,,films,KB Theatres
1226,Find the closest  cinema playing The St. Francisville Experiment .,closest,,The St. Francisville Experiment,,cinema,,
1227,I want to see a list of local movie times .,,,,movie times,,,
1228,find animated movies  close by with a movie schedule,close by,,,movie schedule,,animated movies,
1229,What films are playing at Great Escape Theatres,,,,,,films,Great Escape Theatres
1230,SHOW movie schedule,,,,movie schedule,,,
1231,What is the closest  cinema today playing animated movies ?,closest,,,,cinema,animated movies,
1232,What are the movie times  one second from now at the Alamo Drafthouse Cinema,,one second from now,,movie times,,,Alamo Drafthouse Cinema
1233,I need to see the movie schedules,,,,movie schedules,,,
1234,Find the schedule for nearby  animated movies .,nearby,,,schedule,,animated movies,
1235,what's Southern Theatres  movie schedule,,,,movie schedule,,,Southern Theatres
1236,What movies can I see in the area ?,in the area,,,,,movies,
1237,Find the movie schedule at Malco Theatres .,,,,movie schedule,,,Malco Theatres
1238,Is Holy Matrimony playing at National Amusements ?,,,Holy Matrimony,,,,National Amusements
1239,Find the schedule for Brick .,,,Brick,schedule,,,
1240,what films are showing in the neighborhood ,in the neighborhood,,,,,films,
1241,Find movie schedules for movies  in the area .,in the area,,,movie schedules,,movies,
1242,find Belle of the Yukon,,,Belle of the Yukon,,,,
1243,Fine movie times .,,,,movie times,,,
1244,find Kerasotes Theatres  movie schedules,,,,movie schedules,,,Kerasotes Theatres
1245,Where and at what time can I see Paragraphe 78,,,Paragraphe 78,,,,
1246,Find time for Enkitta Mothathe at Pacific Theatres,,,Enkitta Mothathe,,,,Pacific Theatres
1247,What time is Holiday Heart showing at the movie house,,,Holiday Heart,,movie house,,
1248,What are the movie schedules,,,,movie schedules,,,
1249,Give me the schedule for animated movies at the nearest  cinema,nearest,,,schedule,cinema,animated movies,
1250,Show me the movie times for Caribbean Cinemas  in 1 second .,,in 1 second,,movie times,,,Caribbean Cinemas
1251,where can i watch Wartime Romance in the morning,,morning,Wartime Romance,,,,
1252,I need the movie schedules for Century Theatres,,,,movie schedules,,,Century Theatres
1253,Can i get the showtimes for movies  around here ?,around here,,,,,movies,
1254,Give me showtimes for films  in the neighbourhood .,in the neighbourhood,,,,,films,
1255,where's the nearest  movie house playing No Trains No Planes,nearest,,No Trains No Planes,,movie house,,
1256,whats the movie schedules for General Cinema Corporation,,,,movie schedules,,,General Cinema Corporation
1257,What are the movie times for animated movies playing close by,close by,,,movie times,,animated movies,
1258,Is Flow: For Love of Water playing at Southern Theatres at 2 am,,2 am,Flow: For Love of Water,,,,Southern Theatres
1259,can I get the movie schedules for Goodrich Quality Theaters,,,,movie schedules,,,Goodrich Quality Theaters
1260,List films at the nearest  movie house,nearest,,,,movie house,films,
1261,Show me the nearest  movie house showing He Won a Ranch,nearest,,He Won a Ranch,,movie house,,
1262,Please find the schedule for Jappeloup at Bow Tie Cinemas .,,,Jappeloup,schedule,,,Bow Tie Cinemas
1263,What time is Cold Prey 3 playing at cinema,,,Cold Prey 3,,cinema,,
1264,I'm wondering when I can see Hurry Sundown .,,,Hurry Sundown,,,,
1265,find The World Is Ours at a movie theatre,,,The World Is Ours,,movie theatre,,
1266,What movie house is playing Something for the Birds,,,Something for the Birds,,movie house,,
1267,show the animated movies playing at Consolidated Theatres,,,,,,animated movies,Consolidated Theatres
1268,what animated movies are showing at Star Theatres,,,,,,animated movies,Star Theatres
1269,I'd like to see movie schedules for Kerasotes Theatres,,,,movie schedules,,,Kerasotes Theatres
1270,For the Star Theatres is The Belles of St. Clements playing in 8 minutes ,,in 8 minutes,The Belles of St. Clements,,,,Star Theatres
1271,What is the nearest  movie house playing The Miracle Rider,nearest,,The Miracle Rider,,movie house,,
1272,Find me the movie schedule for Great Escape Theatres,,,,movie schedule,,,Great Escape Theatres
1273,what are the movie times for Consolidated Theatres,,,,movie times,,,Consolidated Theatres
1274,find the movie schedule,,,,movie schedule,,,
1275,Find the schedule for for films at Star Theatres .,,,,schedule,,films,Star Theatres
1276,What films are playing at Marcus Corporation ?,,,,,,films,Marcus Corporation
1277,What is the 7 A.M.  movie schedules at Amco Entertainment,,7 A.M.,,movie schedules,,,Amco Entertainment
1278,what movies are showing in the neighborhood ,in the neighborhood,,,,,movies,
1279,what films are at Kerasotes Theatres ,,,,,,films,Kerasotes Theatres
1280,Find the movie schedules at the Neighborhood Cinema Group,,,,movie schedules,,,Neighborhood Cinema Group
1281,When is Beneath the Harvest Sky playing?,,,Beneath the Harvest Sky,,,,
1282,Show me the movie times for films  nearby .,nearby,,,movie times,,films,
1283,Show me animated movies that are playig at Great Escape Theatres,,,,,,animated movies,Great Escape Theatres
1284,find Endless Horizons,,,Endless Horizons,,,,
1285,Where is the nearest  cinema that is playing The Kid Brother,nearest,,The Kid Brother,,cinema,,
1286,"When is Have Sword, Will Travel playing at the closest  movie theatre ?",closest,,"Have Sword, Will Travel",,movie theatre,,
1287,What time are movies showing around here,around here,,,,,movies,
1288,Can you tell me the movies that are going to be scheduled at the closest  movie house ?,closest,,,,movie house,movies,
1289,what's the closest  movie theatre showing Harbour Beat,closest,,Harbour Beat,,movie theatre,,
1290,find films at Magic Johnson Theatres,,,,,,films,Magic Johnson Theatres
1291,what films are showing at Cooper Foundation,,,,,,films,Cooper Foundation
1292,Find the schedule for movies at Southern Theatres .,,,,schedule,,movies,Southern Theatres
1293,i want to watch Mister Cool,,,Mister Cool,,,,
1294,Find the schedule for movies at Star Theatres .,,,,schedule,,movies,Star Theatres
1295,What films and movie schedule are in the area,in the area,,,movie schedule,,films,
1296,what animated movies are at Fox Theatres,,,,,,animated movies,Fox Theatres
1297,Find the schedule for films  in the neighborhood .,in the neighborhood,,,schedule,,films,
1298,Whats the closest  cinema that shows movies at 12 A.M.,closest,12 A.M.,,,cinema,movies,
1299,What films are going to be shown at the nearest  movie house ?,nearest,,,,movie house,films,
1300,Is Race Gurram playing,,,Race Gurram,,,,
1301,Is Blood Is Not Fresh Water playing at this movie theatre at 2 AM ?,,2 AM,Blood Is Not Fresh Water,,movie theatre,,
1302,Find me The Twinkler playing at National Amusements  in 2 minutes,,in 2 minutes,The Twinkler,,,,National Amusements
1303,Find the movie schedule for animated movies  around here .,around here,,,movie schedule,,animated movies,
1304,what animated movies are in the neighbourhood,in the neighbourhood,,,,,animated movies,
1305,What are movie times for animated movies  close by ?,close by,,,movie times,,animated movies,
1306,find Kerasotes Theatres with movie times,,,,movie times,,,Kerasotes Theatres
1307,find movie schedules for AMC Theaters,,,,movie schedules,,,AMC Theaters
1308,Can you let me know when Troopers Three is scheduled?,,,Troopers Three,,,,
1309,find films  in 12 hours at the nearest  movie theatre,nearest,in 12 hours,,,movie theatre,films,
1310,Find the movie schedule for 20:45:24 .,,20:45:24,,movie schedule,,,
1311,What cinema is showing Ice Station Zebra at 07:25 P.M. ?,,07:25 P.M.,Ice Station Zebra,,cinema,,
1312,find a movie schedule,,,,movie schedule,,,
1313,Can i get the movie times for Fox Theatres ?,,,,movie times,,,Fox Theatres
1314,find animated movies at Amco Entertainment,,,,,,animated movies,Amco Entertainment
1315,find movie times,,,,movie times,,,
1316,Show the movie schedule,,,,movie schedule,,,
1317,List films at Pacific Theatres,,,,,,films,Pacific Theatres
1318,show movie times in North American Cinemas,,,,movie times,,,North American Cinemas
1319,What movies are showing at the Showcase Cinemas,,,,,,movies,Showcase Cinemas
1320,Find me the movie schedules at Fox Theatres,,,,movie schedules,,,Fox Theatres
1321,What animated movies are at Pacific Theatres,,,,,,animated movies,Pacific Theatres
1322,Find time for College Rock Stars at any movie theatre,,,College Rock Stars,,movie theatre,,
1323,Where is the closest  cinema that is playing The Honeymoon Killers,closest,,The Honeymoon Killers,,cinema,,
1324,Is The Happy Hooker Goes Hollywood at the movie house  nearest me,nearest,,The Happy Hooker Goes Hollywood,,movie house,,
1325,What films are showing at the closest  movie theatre ?,closest,,,,movie theatre,films,
1326,Where is The Penthouse playing,,,The Penthouse,,,,
1327,where is My Song Goes Forth playing,,,My Song Goes Forth,,,,
1328,"Is Love, Marilyn playing",,,"Love, Marilyn",,,,
1329,Where is the nearest  movie house that is showing The Kingfisher Caper ?,nearest,,The Kingfisher Caper,,movie house,,
1330,What movies are at North American Cinemas,,,,,,movies,North American Cinemas
1331,what movies are playing at Warren Theatres,,,,,,movies,Warren Theatres
1332,what movies are close by,close by,,,,,movies,
1333,Show the nearest  movie house with The Expendables starting 1 minute from now,nearest,1 minute from now,The Expendables,,movie house,,
1334,find movies  in the neighbourhood with movie times,in the neighbourhood,,,movie times,,movies,
1335,what films are at the nearest  cinema,nearest,,,,cinema,films,
1336,what time can i see Mojave Phone Booth,,,Mojave Phone Booth,,,,
1337,Please shoe me the movie schedule for today.,,,,movie schedule,,,
1338,Is A Master of Craft playing at Wanda Group,,,A Master of Craft,,,,Wanda Group
1339,Find the movie schedules for nearby  movies .,nearby,,,movie schedules,,movies,
1340,Find time for The Thirty Nine Steps ,,,The Thirty Nine Steps,,,,
1341,What is the movie schedules for films  in the neighborhood,in the neighborhood,,,movie schedules,,films,
1342,find a movie house with Hollow Reed,,,Hollow Reed,,movie house,,
1343,Let me know the movie times for films  in the area .,in the area,,,movie times,,films,
1344,What time is The Message playing at Loews Cineplex ?,,,The Message,,,,Loews Cineplex
1345,Fine movie schedules for Speakeasy Theaters .,,,,movie schedules,,,Speakeasy Theaters
1346,what animated movies are showing nearby,nearby,,,,,animated movies,
1347,Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation .,,,The Kitchen Toto,,,,Cineplex Odeon Corporation
1348,What time around here can I fins animated movies,around here,,,,,animated movies,
1349,does Red e Toby nemiciamici start thirteen hours from now,,thirteen hours from now,Red e Toby nemiciamici,,,,
1350,What is on the movie schedule for four AM at Landmark Theatres,,four AM,,movie schedule,,,Landmark Theatres
1351,What time is cinema playing The Village Priest ?,,,The Village Priest,,cinema,,
1352,Show me the movie schedule for Loews Cineplex .,,,,movie schedule,,,Loews Cineplex
1353,List movie times playing animated movies  nearby,nearby,,,movie times,,animated movies,
1354,find Santikos Theatres showing animated movies,,,,,,animated movies,Santikos Theatres
1355,Where is the nearest  movie theatre that is playing The King Maker,nearest,,The King Maker,,movie theatre,,
1356,Can i get the showtimes for Man in Blues ?,,,Man in Blues,,,,
1357,I'd like the movie schedules  nearby me for animated movies,nearby,,,movie schedules,,animated movies,
1358,Advise me on the movie schedule of films that will be playing at 07:31:32 pm at a place close by .,close by,07:31:32 pm,,movie schedule,,films,
1359,What time will The Age of Success be showing?,,,The Age of Success,,,,
1360,What Pacific Theatres are playing animated movies,,,,,,animated movies,Pacific Theatres
1361,find the nearest  movies at a movie theatre,nearest,,,,movie theatre,movies,
1362,Show me the animated movies starting at 10:56:18 a.m. at the nearest  movie house,nearest,10:56:18 a.m.,,,movie house,animated movies,
1363,What animated movies are showing at Loews Cineplex,,,,,,animated movies,Loews Cineplex
1364,Find the schedule for Fear Chamber .,,,Fear Chamber,schedule,,,
1365,What films are showing at Kerasotes Theatres,,,,,,films,Kerasotes Theatres
1366,what movies are playing in the neighborhood ,in the neighborhood,,,,,movies,
1367,What animated movies are playing at IMAX Corporation ?,,,,,,animated movies,IMAX Corporation
1368,What time is See Grace Fly playing at Cineplex Odeon Corporation,,,See Grace Fly,,,,Cineplex Odeon Corporation
1369,Show movie schedules for Marcus Corporation,,,,movie schedules,,,Marcus Corporation
1370,Can I get the showtimes for Fit for a King ?,,,Fit for a King,,,,
1371,find a movie house for 07:52 showing Ganges: River to Heaven,,07:52,Ganges: River to Heaven,,movie house,,
1372,Can you tell me the movie times for Alamo Drafthouse Cinema,,,,movie times,,,Alamo Drafthouse Cinema
1373,what films are on the movie schedule  around here ,around here,,,movie schedule,,films,
